"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1953-54","third division north","0","0","0","0","0","0","0","0","0","0"
"port vale","1954-55","second division","0","0","0","0","0","0","0","0","0","0"
"port vale","1955-56","second division","1","0","0","0","0","0","0","0","1","0"
"port vale","1956-57","second division","30","3","2","2","0","0","0","0","32","5"
"port vale","1957-58","third division south","41","14","3","2","0","0","0","0","44","16"
"port vale","1958-59","fourth division","35","16","1","0","0","0","0","0","36","16"
"port vale","1959-60","third division","44","12","6","1","0","0","2","0","52","13"
"port vale","1960-61","third division","45","7","3","0","3","0","3","0","54","7"
"port vale","1961-62","third division","39","6","5","1","1","0","0","0","45","7"
"port vale","1962-63","third division","43","3","4","0","0","0","0","0","47","3"
"port vale","1963-64","third division","26","3","2","0","1","0","0","0","29","3"
"port vale","1964-65","third division","37","3","1","0","1","0","0","0","39","3"
"port vale","1965-66","fourth division","46","2","4","0","1","0","0","0","51","2"
"port vale","1966-67","fourth division","32","1","1","0","1","0","0","0","34","1"
"port vale","1967-68","fourth division","32","3","1","0","2","0","0","0","35","3"
"port vale","total","total","451","73","33","6","10","0","5","0","499","79"
"career total","career total","career total","451","73","33","6","10","0","5","0","499","79"
