"field and research animal space","fy 2007","fy 2009","fy 2011","fy 2013","fy 2015"
"all research space","187.9","196.1","202.2","211.8","214.7"
"agricultural sciences","27.9","29.5","27.6","30.5","28.1"
"biological and biomedical sciences","44.8","50.3","53.7","57.2","55.9"
"computer and information sciences","4.8","5.2","5","4.3","4.6"
"engineering","28.4","30.2","31.7","33.5","34.3"
"geosciences, atmospheric, and ocean sciences","8.4","8","7.8","7.8","8.1"
"health sciences","37","36.3","36.7","38","39.2"
"mathematics and statistics","1.6","1.5","1.5","1.7","1.8"
"natural resources and conservation","na","na","na","na","3.5"
"physical sciences","20.3","20.5","21.8","22.9","22.7"
"psychology","4.9","5.2","5.5","5.5","5.5"
"social sciences","6","5.5","5.7","5.7","6"
"other","3.7","3.9","5.2","4.8","4.9"
"research animal space","17.8","18.1","18.4","18.9","19.4"
