"","literacy","literacy","literacy","numeracy","numeracy","numeracy"
"","model 1","model 2","model 3","model 1","model 2","model 3"
"","predicted probability","predicted probability","predicted probability","predicted probability","predicted probability","predicted probability"
"higher skill level","","","","","",""
"off-reserve first nations","0.638","0.660","0.658","0.655","0.678","0.681"
"metis","0.583","0.592","0.588","0.604","0.614","0.611"
"non-aboriginal","0.710","0.694","0.698","0.710","0.692","0.699"
"lower skill level","","","","","",""
"off-reserve first nations","0.347","0.463","0.462","0.390","0.493","0.486"
"metis","0.354","0.490","0.483","0.376","0.494","0.483"
"non-aboriginal","0.421","0.535","0.534","0.468","0.567","0.561"
