"fiscal year","all federal obligations","research and development","r&d plant","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"fiscal year","all federal obligations","research and development","r&d plant","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"fiscal year","all federal obligations","","","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2011","31460","27971","323","4","1014","208","1941"
"2012","30848","27419","424","4","913","141","1947"
"2013","29034","25869","246","4","892","132","1891"
"","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions"
"2011","30591","27199","314","4","986","202","1887"
"2012","29480","26203","405","4","873","135","1861"
"2013","27334","24354","232","4","840","124","1780"
