"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"scunthorpe united","1975-76","fourth division","5","1","0","0","0","0","5","1"
"hull city","1972-73","second division","0","0","0","0","1","0","1","0"
"hull city","1973-74","second division","7","1","1","0","1","0","9","1"
"hull city","1974-75","second division","11","0","1","0","0","0","12","0"
"hull city","1975-76","second division","10","3","0","0","0","0","10","3"
"hull city","1976-77","second division","31","6","1","1","1","0","33","7"
"hull city","total","total","59","10","3","1","3","0","65","11"
"port vale","1977-78","third division","15","5","2","0","3","1","20","6"
"portsmouth","1978-79","fourth division","37","14","2","2","2","0","41","16"
"portsmouth","1979-80","fourth division","38","13","5","1","1","0","44","14"
"portsmouth","1980-81","third division","14","2","0","0","0","0","14","2"
"portsmouth","1981-82","third division","34","10","2","2","3","0","39","12"
"portsmouth","total","total","123","39","9","5","6","0","138","44"
"cardiff city","1982-83","third division","44","22","3","2","4","2","51","26"
"cardiff city","1983-84","second division","11","0","0","0","0","0","11","0"
"cardiff city","total","total","55","22","3","2","4","2","62","26"
"career total","career total","career total","257","77","17","8","16","3","290","88"
