"field","2015","2016","% change 2015-16"
"all r&d fields","68566890","71833308","4.8"
"science","53873278","56290662","4.5"
"computer and information sciences","1962827","2077884","5.9"
"geosciences, atmospheric, and ocean sciences","3247416","3087774","-4.9"
"atmospheric science and meteorology","573932","626518","9.2"
"geological and earth sciences","1113619","999351","-10.3"
"ocean sciences and marine sciences","1050173","1097864","4.5"
"geosciences, atmospheric and ocean sciences, nec","509692","364041","-28.6"
"life sciences","38787071","40887850","5.4"
"agricultural sciences","3480029","3293092","-5.4"
"biological and biomedical sciences","11702462","13048981","11.5"
"health sciences","21304898","22393716","5.1"
"natural resources and conservation","na","689725","na"
"life sciences, nec","2299682","1462336","-36.4"
"mathematics and statistics","641083","681661","6.3"
"physical sciences","4659279","4893565","5"
"astronomy and astrophysics","626652","622008","-0.7"
"chemistry","1757423","1775071","1"
"materials science","na","172086","na"
"physics","2047761","2124098","3.7"
"physical sciences, nec","227443","200302","-11.9"
"psychology","1181909","1218721","3.1"
"social sciences","2317108","2366571","2.1"
"anthropology","na","96505","na"
"economics","456561","396393","-13.2"
"political science and government","459416","385245","-16.1"
"sociology, demography, and population studies","524763","504594","-3.8"
"social sciences, nec","876368","983834","12.3"
"sciences, nec","1076585","1076636","0"
"engineering","11072232","11381727","2.8"
"aerospace, aeronautical, and astronautical engineering","734104","883260","20.3"
"bioengineering and biomedical engineering","1003766","1084355","8"
"chemical engineering","915204","885273","-3.3"
"civil engineering","1287446","1331155","3.4"
"electrical, electronic, and communications engineering","2492317","2517147","1"
"industrial and manufacturing engineering","na","239078","na"
"mechanical engineering","1514753","1435828","-5.2"
"metallurgical and materials engineering","1102027","771683","-30"
"engineering, nec","2022615","2233948","10.4"
"non-s&e","3621380","4160919","14.9"
"business management and business administration","569811","649856","14"
"communication and communications technologies","168525","168861","0.2"
"education","1291062","1352650","4.8"
"humanities","430210","435079","1.1"
"law","174734","190443","9"
"social work","214381","208969","-2.5"
"visual and performing arts","100656","142445","41.5"
"non-s&e, nec","672001","1012616","50.7"
