"","1 to 2 years after landing","1 to 2 years after landing","1 to 2 years after landing","5 to 6 years after landing","5 to 6 years after landing","5 to 6 years after landing"
"","mother tongue english/ french","other mother tongue, speak english/ french","other mother tongue, do not speak official language","mother tongue english/ french","other mother tongue, speak english/ french","other mother tongue, do not speak official language"
"","coefficient","coefficient","coefficient","coefficient","coefficient","coefficient"
"intercept","10.02","9.96","9.87","10.25","10.17","10.28"
"age","","","","","",""
"20 to 24","0.03","-0.08","-0.03","-0.03","-0.05","-0.11"
"30 to 34","0.06","-0.06","0.02","0.04","-0.08","-0.08"
"35 to 39","0.10","-0.14","-0.02","0.06","-0.15","-0.21"
"40 to 44","0.05","-0.19","-0.02","-0.02","-0.26","-0.39"
"45 to 49","0.02","-0.27","0.00","-0.07","-0.36","-0.48"
"50 to 54","-0.04","-0.28","-0.11","-0.28","-0.47","-0.43"
"education","","","","","",""
"9 or fewer years of schooling","0.31","-0.11","0.00","0.58","0.03","-0.12"
"13 or more years of schooling","0.22","0.01","-0.09","0.34","0.23","-0.16"
"trade or diploma, 12 or fewer years of schooling","0.26","0.14","0.11","0.37","0.25","0.04"
"trade or diploma, 13 or more years of schooling","0.30","0.04","-0.21","0.47","0.18","-0.06"
"some university","0.25","0.03","-0.40","0.49","0.25","-0.09"
"bachelor, 14 or fewer years of schooling","0.27","0.05","-0.07","0.41","0.28","0.23"
"bachelor, 15 or more years of schooling","0.42","0.03","-0.26","0.59","0.33","0.10"
"master's, 16 or fewer years of schooling","0.32","-0.05","-0.31","0.55","0.20","0.10"
"master's, 17 or more years of schooling","0.52","0.08","-0.28","0.74","0.39","0.14"
"doctorate","0.59","0.10","-0.23","0.78","0.42","0.10"
"years of canadian work experience","","","","","",""
"more than 0 to less than 1","0.55","0.70","0.54","0.33","0.36","0.35"
"1 to less than 2","0.75","0.69","0.30","0.50","0.39","0.31"
"2 to less than 3","1.00","0.93","0.42","0.62","0.58","0.40"
"3 to less than 4","1.08","0.98","0.74","0.66","0.59","0.38"
"4 to less than 5","1.27","1.12","0.91","0.84","0.69","0.48"
"5 or more","1.31","1.32","0.43","0.88","0.73","-0.05"
"years of study in canada","","","","","",""
"more than 0 to less than 1","-0.30","0.04","-0.13","-0.28","0.02","0.08"
"1 to less than 2","-0.26","-0.17","-0.31","-0.25","-0.05","-0.16"
"2 to less than 3","-0.28","-0.10","0.43","-0.27","0.03","0.13"
"3 to less than 4","-0.36","-0.24","0.12","-0.20","-0.01","0.23"
"4 to less than 5","-0.23","-0.20","-0.43","-0.10","-0.08","0.10"
"5 or more","-0.44","-0.25","0.31","-0.31","-0.17","0.45"
