"club","season","league","league","league","national cup","national cup","continental","continental","state league","state league","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"iraty","2010","serie d","7","2","0","0","-","-","0","0","7","2"
"iraty","2011","serie d","0","0","2","0","-","-","20","7","22","7"
"iraty","total","total","7","2","2","0","-","-","20","7","29","9"
"londrina","2012","serie d","0","0","0","0","-","-","21","2","21","2"
"londrina","2013","serie d","1","0","0","0","-","-","23","2","24","2"
"londrina","total","total","1","0","0","0","-","-","44","4","45","4"
"portuguesa","2013","serie a","29","4","0","0","-","-","0","0","29","4"
"portuguesa","total","total","29","4","0","0","-","-","0","0","29","4"
"corinthians","2014","serie a","25","1","5","0","-","-","8","0","38","1"
"corinthians","2015","serie a","22","1","2","0","5","0","10","1","39","2"
"corinthians","2016","serie a","21","4","0","0","7","0","12","0","40","4"
"corinthians","total","total","68","6","7","0","12","0","30","1","117","7"
"palermo","2016-17","serie a","33","1","0","0","-","-","33","1","none","none"
"palermo","total","total","33","1","0","0","-","-","-","-","33","1"
"palmeiras","2017","serie a","15","2","-","-","2","0","-","-","17","2"
"palmeiras","2018","serie a","32","8","6","0","10","3","14","2","62","13"
"palmeiras","total","total","47","10","6","0","12","3","14","2","79","15"
"career total","career total","career total","146","14","9","0","14","0","94","12","263","26"
