"year","single","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","album"
"year","single","us aaa","us alt","us rock","bel","bel","can rock","mex air","ned","album"
"2008","taking the farm","-","-","-","-","-","-","-","-","wagonwheel blues"
"2011","baby missiles","-","-","-","-","-","-","-","-","slave ambient"
"2011","come to the city","-","-","-","-","-","-","-","-","slave ambient"
"2012","best night","-","-","-","-","-","-","-","-","slave ambient"
"2013","red eyes","-","-","-","37","-","-","48","-","lost in the dream"
"2014","under the pressure","19","-","-","-","-","-","-","-","lost in the dream"
"2014","burning","-","-","-","-","-","-","-","-","lost in the dream"
"2014","eyes to the wind","-","-","-","-","-","-","-","-","lost in the dream"
"2015","an ocean in between the waves","-","-","-","-","-","-","-","-","lost in the dream"
"2017","thinking of a place","-","-","-","37","-","-","23","-","a deeper understanding"
"2017","holding on","3","35","-","-","-","44","-","-","a deeper understanding"
"2017","strangest thing","-","-","-","-","-","-","-","-","a deeper understanding"
"2017","pain","1","-","49","-","-","46","-","-","a deeper understanding"
"2017","up all night","-","-","-","-","-","-","-","-","a deeper understanding"
"2018","nothing to find","-","-","-","-","-","-","-","-","a deeper understanding"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
