"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"brentford","1946-47","first division","1","0","0","0","1","0"
"brentford","1947-48","second division","16","0","0","0","16","0"
"brentford","1949-50","second division","22","0","1","0","23","0"
"brentford","1950-51","second division","24","0","1","0","25","0"
"brentford","1951-52","second division","4","0","1","0","5","0"
"brentford","1952-53","second division","30","3","3","0","33","3"
"brentford","1953-54","second division","36","0","3","0","39","0"
"brentford","1954-55","third division south","28","0","5","0","33","0"
"brentford","1955-56","third division south","10","0","1","0","11","0"
"career total","career total","career total","171","3","15","0","186","3"
