"institution","all federal obligations","r&d","r&d plant","facilities for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"fy 2017","fy 2017","fy 2017","fy 2017","fy 2017","fy 2017","fy 2017","fy 2017"
"all hhes","1735558","1546178","7232","0","114600","7804","59745"
"top 10 hhes","1212515","1113854","2978","0","50226","4534","40923"
"u. arizona","224132","202668","771","0","11347","0","9346"
"u. california, irvine","181488","165191","366","0","10599","0","5332"
"u. texas m. d. anderson cancer center","155319","143478","0","0","2378","0","9463"
"u. illinois, chicago","146914","137361","226","0","5119","480","3729"
"u. new mexico","122853","111442","79","0","7324","125","3883"
"u. california, santa barbara","103095","99769","1211","0","1836","0","280"
"u. texas health science center, houstona","88950","86926","0","0","1849","0","175"
"u. texas health science center, san antonio","68986","58456","0","0","3699","576","6255"
"florida international u","60621","50852","326","0","4209","2898","2337"
"u. california, santa cruz","60156","57711","0","0","1866","456","124"
"all other hhes","523044","432324","4254","0","64374","3270","18822"
"fy 2016","fy 2016","fy 2016","fy 2016","fy 2016","fy 2016","fy 2016","fy 2016"
"all hhes","1719520","1499734","14501","0","134228","11387","59671"
"top 10 hhes","1163023","1069864","6238","0","51453","5297","30172"
"u. arizona","211508","185962","2385","0","11025","393","11744"
"u. california, irvine","181119","167846","18","0","10764","1632","860"
"u. illinois, chicago","145695","133214","1567","0","6603","0","4311"
"u. texas m. d. anderson cancer center","129868","119083","0","0","2193","0","8593"
"u. new mexico","108798","100082","235","0","5721","1894","865"
"u. california, santa barbara","100306","95567","1154","0","1331","600","1655"
"u. texas health science center, houstona","86983","84256","0","0","2550","0","177"
"u. california, santa cruz","72560","68978","413","0","2870","0","298"
"u. california, riverside","64251","58603","466","0","4768","178","236"
"u. texas health science center, san antonio","61936","56274","0","0","3628","600","1434"
"all other hhes","556498","429871","8264","0","82775","6090","29499"
