"awareness of information","experienced sexual assault","experienced sexual assault","experienced sexual assault","did not experience sexual assault","did not experience sexual assault","did not experience sexual assault","experienced unwanted sexualized behaviours","experienced unwanted sexualized behaviours","experienced unwanted sexualized behaviours","did not experience unwanted sexualized behaviours","did not experience unwanted sexualized behaviours","did not experience unwanted sexualized behaviours"
"awareness of information","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"awareness of information","percent","from","to","percent","from","to","percent","from","to","percent","from","to"
"have you received information from your school on:","","","","","","","","","","","",""
"school policy on harassment and sexual assault","","","","","","","","","","","",""
"yes","85","71","93","89","87","91","92","88","94","86","83","89"
"no","f","..","..","6","4","8","5","3","9","7","5","10"
"don't know","f","..","..","4","3","6","f","..","..","6","4","9"
"what sexual assault is and how to recognize it","","","","","","","","","","","",""
"yes","82","67","91","87","85","90","91","87","94","83","80","86"
"no","f","..","..","8","6","10","6","3","10","11","8","14"
"don't know","f","..","..","5","3","7","f","..","..","5","4","8"
"what harassment is and how to recognize it","","","","","","","","","","","",""
"yes","85","71","93","89","86","91","93","89","95","85","81","88"
"no","f","..","..","6","5","9","f","..","..","9","7","12"
"don't know","f","..","..","5","3","7","f","..","..","5","4","8"
"school's confidential resources for harassment and sexual assault and how to locate them","","","","","","","","","","","",""
"yes","73","58","84","85","82","88","90","85","93","80","76","84"
"no","f","..","..","9","7","11","6","4","9","12","9","15"
"don't know","f","..","..","5","3","7","f","..","..","6","4","9"
"options to help prevent harassment and sexual assault, including bystander action","","","","","","","","","","","",""
"yes","72","57","83","85","82","87","90","86","93","79","75","83"
"no","f","..","..","10","8","12","6","4","10","13","10","16"
"don't know","f","..","..","5","4","7","f","..","..","7","5","10"
"are you aware of these procedures and services at your school?","","","","","","","","","","","",""
"procedures for dealing with reported incidents of harassment and sexual assault","","","","","","","","","","","",""
"yes","73","58","84","83","80","86","86","82","90","80","76","83"
"no","f","..","..","10","8","13","9","6","14","12","9","16"
"don't know","f","..","..","6","4","8","f","..","..","7","5","9"
"services available at school for victims of harassment and sexual assault","","","","","","","","","","","",""
"yes","74","59","85","84","81","87","86","81","90","81","77","84"
"no","f","..","..","10","8","12","9","6","13","12","9","15"
"don't know","f","..","..","6","4","8","f","..","..","7","5","9"
"off-campus resources for victims of harassment and sexual assault","","","","","","","","","","","",""
"yes","65","50","78","76","73","80","75","69","80","75","71","79"
"no","f","..","..","14","12","18","17","13","23","15","11","18"
"don't know","f","..","..","9","7","11","6","4","10","9","7","13"
"where at school to take a friend to get help if they are harassed or sexually assaulted","","","","","","","","","","","",""
"yes","68","53","80","81","78","84","82","77","86","79","75","82"
"no","f","..","..","11","9","14","12","8","16","12","9","15"
"don't know","f","..","..","7","5","9","f","..","..","8","6","11"
