"jurisdiction","total custody","total custody","total custody","total community services","total community services","total community services","total correctional services","total correctional services","total correctional services"
"jurisdiction","number","rate","percent change in rate from 2015/2016","number","rate","percent change in rate from 2015/2016","number","rate","percent change in rate from 2015/2016"
"newfoundland and labrador","10","3","-6","193","61","-4","203","64","-5"
"prince edward island","4","4","-39","66","67","-8","70","71","-11"
"nova scotia","23","4","-21",".","..","..",".","..",".."
"new brunswick","16","3","-40",".","..","..",".","..",".."
"ontario","292","3","-13","2,629","29","-8","2,921","32","-9"
"manitoba","216","22","-8","1,278","130","-6","1,494","152","-7"
"saskatchewan","156","19","1","977","118","-4","1,133","137","-3"
"alberta","114","4","-23","1,007","36","-25","1,121","40","-25"
"british columbia","53","2","-19","490","17","-14","543","18","-14"
"yukon","3","12","-59","25","104","3","28","115","-11"
"northwest territories","5","16","32","18","61","-54","23","76","-47"
"nunavut","7","18","37","35","93","-18","42","111","-12"
"total-all jurisdictions","897","5","-12","6,719","39","-11","7,577","44","-11"
