"ffrdcs and postdocs","2012","2013","2015","2017a,b","2019a","change 2012-19","change 2017-19"
"ffrdcs","","","","","","",""
"all ffrdcs","39","40","42","42","42","3","0"
"ffrdcs with postdocs","22","21","24","23","24","2","1"
"postdocs","","","","","","",""
"all postdocs","2793","2613","2696","2975","3335","542","360"
"ffrdc type","","","","","","",""
"university administered","1248","1204","1227","1296","1398","150","102"
"nonprofit administered","681","653","698","788","912","231","124"
"industry administered","864","756","771","891","1025","161","134"
"federal sponsoring agency","","","","","","",""
"department of energy","2579","2367","2463","2685","3034","455","349"
"all other sponsors","214","246","233","290","301","87","11"
