"field of doctorate","2001","2003","2006","2008","2010"
"","number in labor force","number in labor force","number in labor force","number in labor force","number in labor force"
"all seh fields","582500","606300","630300","670200","709700"
"biological, agricultural, and environmental life sciences","142400","148800","158200","167600","179600"
"computer and information sciences","10900","12300","13700","16300","19400"
"mathematics and statistics","26300","29000","29500","31200","32500"
"physical sciences","113200","115700","115800","119900","124400"
"psychology","89600","93000","97500","101000","104200"
"social sciences","77200","79600","81000","85100","88700"
"engineering","101300","104400","108000","119800","129100"
"health","21500","23600","26500","29300","31800"
"","unemployment rate (percent)a","unemployment rate (percent)a","unemployment rate (percent)a","unemployment rate (percent)a","unemployment rate (percent)a"
"all seh fields","1.3","2.1","1.4","1.7","2.4"
"biological, agricultural, and environmental life sciences","1.1","2","1.4","1.9","2.2"
"computer and information sciences","0.9","2.4","1.4","1.2","2.1"
"mathematics and statistics","1.5","2.4","1","1","1.5"
"physical sciences","1.7","2.5","2.1","2.4","3.5"
"psychology","0.8","1.7","0.9","1.3","1.7"
"social sciences","1.3","1.5","1","1.3","1.9"
"engineering","1.7","2.7","1.4","1.8","2.8"
"health","0.5","1.3","0.7","1","1.9"
