"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"clyde","2004-05","scottish first division","28","3","2","1","2","0","2","0","34","4"
"clyde","2005-06","scottish first division","33","2","3","1","3","1","1","0","40","4"
"clyde","2006-07","scottish first division","34","3","1","0","1","0","4","1","40","4"
"clyde","total","total","95","8","6","2","6","1","7","1","114","12"
"kilmarnock","2007-08","scottish premier league","19","4","2","0","1","0","-","-","22","4"
"kilmarnock","2008-09","scottish premier league","33","2","3","1","3","1","-","-","39","4"
"kilmarnock","2009-10","scottish premier league","33","4","3","0","2","0","-","-","38","4"
"kilmarnock","2010-11","scottish premier league","33","2","1","0","2","0","-","-","36","2"
"kilmarnock","total","total","118","12","9","1","8","1","-","-","135","14"
"derby county","2011-12","championship","44","6","2","0","0","0","-","-","46","6"
"derby county","2012-13","championship","37","5","1","0","1","0","-","-","39","5"
"derby county","2013-14","championship","45","16","0","0","2","0","2","0","49","16"
"derby county","2014-15","championship","38","4","2","0","4","1","-","-","44","5"
"derby county","2015-16","championship","23","3","1","0","0","0","2","0","26","3"
"derby county","2016-17","championship","34","2","2","1","1","0","-","-","37","3"
"derby county","2017-18","championship","4","1","0","0","1","0","-","-","5","1"
"derby county","total","total","225","37","8","1","9","1","4","0","246","39"
"cardiff city","2017-18","championship","22","2","0","0","-","-","22","2","none","none"
"career total","career total","career total","460","59","23","4","23","3","11","1","517","67"
