"impact on life/limitation","%","95% confidence interval","95% confidence interval"
"impact on life/limitation","%","from","to"
"overall, how much multiple sclerosis affects life","","",""
"not at all","14.4","9.1","22.1"
"a little bit","21.7","15.8","29.2"
"moderately","24.0","18.1","31.2"
"quite a bit","20.3","15.2","26.6"
"extremely","19.5","13.2","27.8"
"functional impact","","",""
"mobility","","",""
"able to walk without aid","57.0","48.1","65.5"
"able to walk with aid","31.2","24.1","39.4"
"unable to walk","11.8","7.2","18.8"
"pain","","",""
"usually free of pain","53.5","43.8","62.9"
"pain prevents none/a few activities","21.1","15.6","27.8"
"pain prevents some/most activities","25.5","18.0","34.6"
"limited getting a good night's sleep","","",""
"not at all","37.8","31.0","45.1"
"a little bit/moderately","35.5","28.0","43.8"
"quite a bit/extremely","26.7","19.9","34.9"
"cognition","","",""
"able to remember and think","49.9","42.5","57.4"
"at least some difficulty remembering and thinking","50.1","42.6","57.5"
"social impact","","",""
"prevented from driving","","",""
"yes","29.8","23.4","37.0"
"no","70.2","63.0","76.6"
"limited educational opportunities","","",""
"not at all","67.8","60.5","74.3"
"a little bit/moderately","17.6","12.4","24.5"
"quite a bit/extremely","14.6","10.4","20.2"
"limited job opportunities","","",""
"not at all","41.8","34.3","49.8"
"a little bit/moderately","13.9","9.5","19.9"
"quite a bit/extremely","44.2","36.0","52.8"
"social interactions","","",""
"negative feelings about social interactions","","",""
"sometimes/often/always","43.1","34.7","52.0"
"rarely/never","56.9","48.0","65.3"
"embarrassed","","",""
"sometimes/often/always","27.5","20.6","35.8"
"rarely/never","72.5","64.2","79.4"
"people felt uncomfortable around me","","",""
"sometimes/often/always","18.5","13.5","24.8"
"rarely/never","81.5","75.2","86.5"
"felt left out","","",""
"sometimes/often/always","31.1","23.6","39.8"
"rarely/never","68.9","60.2","76.4"
"some people avoided me","","",""
"sometimes/often/always","13.9","8.4","21.9"
"rarely/never","86.1","78.1","91.6"
