"sport","event","gold medalist(s)","gold medalist(s)","gold medalist(s)","silver medalist(s)","silver medalist(s)","bronze medalist(s)","bronze medalist(s)","ref"
"sport","event","competitor(s)","noc","rec","competitor(s)","noc","competitor(s)","noc","ref"
"alpine skiing","men's combined","marcel hirscher","austria","none","alexis pinturault","france","victor muffat-jeandet","france","none"
"cross-country skiing","men's individual sprint","johannes høsflot klæbo","norway","none","federico pellegrino","italy","aleksandr bolshunov","olympic athletes from russia","none"
"cross-country skiing","women's individual sprint","stina nilsson","sweden","none","maiken caspersen falla","norway","yulia belorukova","olympic athletes from russia","none"
"curling","mixed doubles tournament","kaitlyn lawes john morris","canada","none","jenny perret martin rios","switzerland","kristin skaslien magnus nedregotten","norway","none"
"luge","women's singles","natalie geisenberger","germany","none","dajana eitberger","germany","alex gough","canada","none"
"short track speed skating","women's 500 m","arianna fontana","italy","none","yara van kerkhof","netherlands","kim boutin","canada","none"
"snowboarding","women's halfpipe","chloe kim","united states","none","liu jiayu","china","arielle gold","united states","none"
"speed skating","men's 1500 m","kjeld nuis","netherlands","none","patrick roest","netherlands","kim min-seok","south korea","none"
