"location of behaviour","inappropriate verbal or non-verbal communication","inappropriate verbal or non-verbal communication","inappropriate verbal or non-verbal communication","sexually explicit materials","sexually explicit materials","sexually explicit materials","unwanted physical contact or suggested sexual relations","unwanted physical contact or suggested sexual relations","unwanted physical contact or suggested sexual relations"
"location of behaviour","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"location of behaviour","percent","from","to","percent","from","to","percent","from","to"
"on campus","75.1","73.7","76.5","38.3","34.7","42.0","59.2","56.9","61.4"
"learning environment","29.5","27.8","31.3","37.5","31.5","44.0","31.2","28.5","34.0"
"non-residential building","59.3","57.4","61.1","51.4","45.3","57.5","51.2","48.3","54.1"
"on campus residence, excluding fraternities and sororities","18.0","16.6","19.5","30.6","24.9","36.9","19.9","17.7","22.2"
"fraternity or sorority house on campus","4.5","3.8","5.4","8.8","5.8","13.0","3.9","2.9","5.1"
"other on campus location","28.7","27.1","30.4","16.7","12.5","21.9","20.9","18.6","23.5"
"off campus","52.9","51.3","54.6","37.1","33.6","40.8","50.8","48.5","53.0"
"another postsecondary school in canada","5.2","4.3","6.2","7.2","4.7","10.9","4.6","3.5","6.2"
"at an internship, job placement, practicum or volunteer assignment","9.1","7.9","10.5","7.6","4.8","11.8","8.5","6.8","10.5"
"off campus residence, excluding fraternities and sororities","46.1","43.9","48.3","63.2","56.9","69.1","38.6","35.5","41.7"
"fraternity or sorority house off campus","6.2","5.2","7.4","5.8","3.6","9.2","6.8","5.3","8.7"
"restaurant or bar","54.9","52.6","57.2","38.0","32.2","44.2","49.4","46.2","52.6"
"travelling to or from school","33.5","31.4","35.7","18.7","14.1","24.3","22.1","19.6","24.9"
"other off campus location","26.4","24.5","28.4","23.4","18.5","29.2","21.0","18.6","23.7"
"online","21.4","20.1","22.8","62.5","58.8","66.0","20.2","18.5","22.1"
"school online environment","3.0","2.0","4.4","3.5","2.1","5.8","f","..",".."
"by email, instant message, text message","55.9","52.4","59.3","43.5","38.8","48.4","54.5","49.6","59.4"
"on social media","80.7","77.8","83.4","78.5","74.3","82.1","74.0","69.4","78.2"
"online dating app or website","23.9","21.0","27.0","23.3","19.4","27.7","23.8","19.8","28.3"
"during a phone call or video chat","14.9","12.5","17.7","10.5","7.9","13.9","12.4","9.3","16.4"
"other online location","5.6","4.2","7.5","6.5","4.4","9.5","5.8","3.8","8.6"
