"","people who know many or most of their neighbours","people who know many or most of their neighbours","people who know many or most of their neighbours"
"","2003","2008","2013"
"","percentage","percentage","percentage"
"total","43","46","42"
"men","43","47","42"
"women","44","45","43"
"age group","","",""
"15 to 24 years","42","45","42"
"25 to 34 years","31","33","29"
"35 to 44 years","46","45","42"
"45 to 54 years","46","50","45"
"55 to 64 years","49","53","46"
"65 to 74 years","51","54","51"
"75 years and older","48","49","47"
"province","","",""
"newfoundland and labrador","73","71","68"
"prince edward island","65","65","59"
"nova scotia","61","58","53"
"new brunswick","63","61","63"
"quebec","39","48","40"
"ontario","43","44","41"
"manitoba","50","48","45"
"saskatchewan","57","57","54"
"alberta","39","40","37"
"british columbia","40","43","42"
