"","hospital","hospital","hospital","non-hospital, other or unknown","non-hospital, other or unknown","non-hospital, other or unknown","all"
"","number","row","column","number","row","column","all"
"overall","508,170","57.7","100.0","372,255","42.3","100.0","880,425"
"year of death","","","","","","",""
"2010","78,775","59.1","15.5","54,495","40.9","14.6","133,270"
"2011","106,665","58.7","21.0","74,920","41.3","20.1","181,585"
"2012","105,690","57.6","20.8","77,865","42.4","20.9","183,550"
"2013","107,800","57.1","21.2","80,930","42.9","21.7","188,730"
"2014","109,240","56.5","21.5","84,050","43.5","22.6","193,290"
"province","","","","","","",""
"newfoundland and labrador","14,255","64.5","2.8","7,845","35.5","2.1","22,100"
"prince edward island","3,015","52.7","0.6","2,710","47.3","0.7","5,725"
"nova scotia","23,830","58.7","4.7","16,735","41.3","4.5","40,565"
"new brunswick","19,445","62.9","3.8","11,470","37.1","3.1","30,915"
"ontario","250,530","57.9","49.3","182,045","42.1","48.9","432,575"
"manitoba","40,730","85.1","8.0","7,150","14.9","1.9","47,880"
"saskatchewan","22,975","52.9","4.5","20,430","47.1","5.5","43,405"
"alberta","59,595","57.7","11.7","43,660","42.3","11.7","103,255"
"british columbia","73,800","47.9","14.5","80,210","52.1","21.5","154,010"
"age group","","","","","","",""
"19 to 29 years","4,070","37.7","0.8","6,735","62.3","1.8","10,805"
"30 to 39 years","5,730","45.0","1.1","7,000","55.0","1.9","12,730"
"40 to 49 years","15,550","52.5","3.1","14,100","47.6","3.8","29,645"
"50 to 59 years","42,035","57.6","8.3","30,950","42.4","8.3","72,985"
"60 to 69 years","77,455","63.2","15.2","45,185","36.8","12.1","122,640"
"70 to 79 years","116,990","64.8","23.0","63,615","35.2","17.1","180,605"
"80 to 89 years","167,115","59.1","32.9","115,840","40.9","31.1","282,955"
"90 years and older","79,230","47.1","15.6","88,830","52.9","23.9","168,060"
"sex","","","","","","",""
"male","266,950","59.9","52.5","178,855","40.1","48.0","445,805"
"female","241,220","55.5","47.5","193,400","44.5","52.0","434,620"
"marital status","","","","","","",""
"single","48,125","50.6","9.5","46,940","49.4","12.6","95,070"
"married","230,195","64.2","45.3","128,600","35.8","34.5","358,790"
"widowed","171,745","53.3","33.8","150,510","46.7","40.4","322,255"
"divorced","40,855","55.0","8.0","33,470","45.0","9.0","74,325"
"separated","2,745","54.1","0.5","2,320","45.8","0.6","5,070"
"unknown","14,505","58.2","2.9","10,415","41.8","2.8","24,915"
"neighbourhood income quintile","","","","","","",""
"lowest quintile","115,475","57.4","22.7","85,660","42.6","23.0","201,135"
"medium-low quintile","107,000","59.1","21.1","74,015","40.9","19.9","181,015"
"middle quintile","98,625","58.2","19.4","70,725","41.8","19.0","169,350"
"medium-high quintile","94,025","57.4","18.5","69,825","42.6","18.8","163,850"
"highest quintile","85,095","56.4","16.7","65,675","43.6","17.6","150,770"
"missing","7,955","55.6","1.6","6,350","44.4","1.7","14,305"
"rurality","","","","","","",""
"rural","113,895","60.0","22.4","76,000","40.0","20.4","189,900"
"urban","389,240","57.1","76.6","292,180","42.9","78.5","681,420"
"other, missing or unknown","5,030","55.2","1.0","4,075","44.8","1.1","9,105"
"underlying cause of death","","","","","","",""
"terminal illness","172,170","63.3","33.9","99,675","36.7","26.8","271,845"
"frailty","117,015","46.3","23.0","135,650","53.7","36.4","252,665"
"organ failure","179,170","65.0","35.3","96,610","35.0","26.0","275,785"
"other","12,005","29.4","2.4","28,865","70.6","7.8","40,870"
"sudden death","27,810","70.8","5.5","11,450","29.2","3.1","39,260"
