"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2012","ind","15","1","50","861","17.2","70","7","5","29","5.8","19","0","1","0"
"2013","ind","16","10","82","1,083","13.2","73t","5","2","6","3.0","3","0","1","0"
"2014","ind","15","15","82","1,345","16.4","73t","7","2","20","10.0","15","0","3","1"
"2015","ind","16","15","69","1,124","16.3","87t","5","-","-","-","-","-","1","0"
"2016","ind","16","16","91","1,448","15.9","63t","6","-","-","-","-","-","-","-"
"2017","ind","16","16","57","966","16.9","80t","4","-","-","-","-","-","2","1"
"2018","ind","14","14","76","1,270","16.7","68t","6","-","-","-","-","-","none","none"
"career","career","108","87","507","8,097","16.0","87t","40","9","55","6.1","19","0","8","2"
