"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"psv","2011-12","eredivisie","8","3","3","1","-","-","0","0","0","0","11","4"
"psv","2012-13","eredivisie","20","2","4","1","-","-","5","0","1","0","30","3"
"psv","2013-14","eredivisie","32","12","1","0","-","-","10","2","0","0","43","14"
"psv","2014-15","eredivisie","30","22","1","0","-","-","9","6","0","0","40","28"
"psv","total","total","90","39","9","2","-","-","24","8","1","0","124","49"
"manchester united","2015-16","premier league","29","2","3","0","2","0","11","5","-","-","45","7"
"manchester united","2016-17","premier league","4","0","0","0","1","0","3","0","0","0","8","0"
"manchester united","total","total","33","2","3","0","3","0","14","5","0","0","53","7"
"lyon","2016-17","ligue 1","17","5","1","0","0","0","-","-","18","5","none","none"
"lyon","2017-18","ligue 1","36","19","4","0","1","0","10","3","-","-","51","22"
"lyon","2018-19","ligue 1","27","6","1","0","2","1","7","1","-","-","37","8"
"lyon","total","total","80","30","6","0","3","1","17","4","0","0","106","35"
"career total","career total","career total","203","71","18","2","6","1","55","17","1","0","283","91"
