"revenue class","first nations","first nations","inuit","inuit","non-indigenous comparison group","non-indigenous comparison group"
"revenue class","non-employer","employer","non-employer","employer","non-employer","employer"
"revenue class","percent","percent","percent","percent","percent","percent"
"goods","","","","","",""
"no revenue","0.0","0.0","0.0","..","0.0","0.0"
"more than $0 and less than $30,000","2.6","0.0","0.2","..","4.8","0.0"
"between $30,000 and $100,000","9.1","0.2","0.6","0.1","13.3","0.3"
"between $100,000 and $250,000","9.1","0.9","1.7","0.3","17.3","1.6"
"between $250,000 and $1,000,000","18.5","4.3","0.4","2.8","16.8","6.9"
"over $1,000,000","60.6","94.6","97.1","96.8","47.8","91.1"
"all revenue classes","100.0","100.0","100.0","100.0","100.0","100.0"
"goods","","","","","",""
"no revenue","0.0","0.0","0.0","0.0","0.0","0.0"
"more than $0 and less than $30,000","5.5","0.0","1.4","..","3.6","0.0"
"between $30,000 and $100,000","8.7","0.2","5.8","..","9.1","0.4"
"between $100,000 and $250,000","16.0","0.9","4.8","..","16.0","2.2"
"between $250,000 and $1,000,000","30.0","6.4","2.6","x","40.2","17.9"
"over $1,000,000","39.7","92.5","85.3","x","31.0","79.5"
"all revenue classes","100.0","100.0","100.0","100.0","100.0","100.0"
"service","","","","","",""
"no revenue","0.0","0.0","0.0","0.0","0.0","0.0"
"more than $0 and less than $30,000","7.8","0.0","4.9","0.0","12.5","0.1"
"between $30,000 and $100,000","10.3","0.3","8.9","0.1","15.8","0.6"
"between $100,000 and $250,000","12.6","1.5","10.3","0.5","16.4","2.9"
"between $250,000 and $1,000,000","18.9","7.9","15.8","5.7","19.2","12.4"
"over $1,000,000","50.4","90.3","60.0","93.6","36.1","83.9"
"all revenue classes","100.0","100.0","100.0","100.0","100.0","100.0"
