"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"newcastle united","1997-98","premier league","0","0","0","0","0","0","0","0","0","0"
"swindon town","1996-97","first division","0","0","0","0","1","0","0","0","1","0"
"swindon town","1997-98","first division","1","0","0","0","0","0","0","0","1","0"
"swindon town","1998-99","first division","16","0","2","0","0","0","0","0","18","0"
"swindon town","1999-2000","first division","12","0","0","0","1","0","0","0","13","0"
"swindon town","total","total","29","0","2","0","2","0","0","0","33","0"
"shrewsbury town","2002-03","third division","7","0","0","0","0","0","0","0","7","0"
"bristol city","1999-2000","second division","2","0","0","0","0","0","0","0","2","0"
"bristol city","2000-01","second division","19","0","0","0","2","0","0","0","21","0"
"bristol city","2001-02","second division","11","0","0","0","0","0","5","0","16","0"
"bristol city","2002-03","second division","7","0","0","0","1","0","2","0","10","0"
"bristol city","2003-04","second division","0","0","0","0","2","0","1","0","3","0"
"bristol city","total","total","39","0","0","0","5","0","8","0","52","0"
"telford united","2003-04","conference national","22","1","3","0","0","0","2","1","27","2"
"port vale","2004-05","league one","24","0","2","0","0","0","1","0","27","0"
"port vale","2005-06","league one","1","0","0","0","0","0","0","0","1","0"
"port vale","2006-07","league one","20","1","0","0","0","0","0","0","20","1"
"port vale","2007-08","league one","22","0","0","0","1","0","1","0","24","0"
"port vale","total","total","67","1","2","0","1","0","2","0","72","1"
"darlington","2008-09","league two","27","2","2","0","2","0","2","0","33","2"
"barrow","2009-10","conference national","37","0","4","0","0","0","0","0","41","0"
"barrow","2010-11","conference national","20","0","0","0","0","0","0","0","20","0"
"barrow","2011-12","conference national","8","0","0","0","0","0","0","0","8","0"
"barrow","total","total","65","0","4","0","0","0","0","0","69","0"
"worcester city","2012-13","conference north","1","0","0","0","0","0","0","0","1","0"
"barrow","2013-14","conference north","3","0","0","0","0","0","0","0","3","0"
"career total","career total","career total","260","4","13","0","10","0","14","1","297","5"
