"","all","under-reporters","under-reporters","under-reporters","plausible reporters","plausible reporters","plausible reporters","over-reporters","over-reporters","over-reporters"
"","all","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"","n","%","from","to","%","from","to","%","from","to"
"aged 2 to 8 years","","","","","","","","","",""
"2004","2,885","6.7","5.3","8.4","65.7","62.5","68.7","27.6","24.8","30.7"
"2015","1,511","14.1","11.1","17.8","67.9","63.8","71.7","18.0","15.1","21.2"
"aged 9 to 18 years","","","","","","","","","",""
"2004","6,311","16.5","15.0","18.1","61.5","59.5","63.6","22.0","20.4","23.7"
"2015","3,212","26.3","23.9","28.9","60.9","58.1","63.7","12.8","11.0","14.8"
"aged 19 years and older","","","","","","","","","",""
"both sexes","","","","","","","","","",""
"2004","18,578","28.2","27.0","29.4","58.2","56.8","59.6","13.6","12.6","14.6"
"2015","12,578","34.5","32.8","36.2","58.1","56.4","59.8","7.4","6.6","8.3"
"males","","","","","","","","","",""
"2004","8,563","28.6","26.7","30.5","57.3","55.3","59.3","14.1","12.8","15.6"
"2015","6,160","34.2","31.9","36.6","58.1","55.7","60.5","7.7","6.5","9.0"
"females","","","","","","","","","",""
"2004","10,015","27.8","26.2","29.5","59.2","57.2","61.1","13.0","11.6","14.5"
"2015","6,418","34.8","32.5","37.1","58.1","55.7","60.4","7.1","6.2","8.2"
