"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","us country","us","us ac","can country","can","can ac","nz","aus","certifications","album"
"1960","holy one","-","107","-","-","-","-","-","-","none","n/a"
"1975","before the next teardrop falls","1","1","19","1","6","18","2","1","us: gold","before the next teardrop falls"
"1975","wasted days and wasted nights","1","8","9","2","6","14","1","9","us: gold","before the next teardrop falls"
"1975","since i met you baby","10","45","-","-","52","-","-","-","none","since i met you baby"
"1975","secret love","1","20","10","1","38","7","10","33","none","are you ready for freddy?"
"1976","the wild side of life","13","-","-","-","-","-","-","-","none","since i met you baby"
"1976","you'll lose a good thing","1","32","28","-","-","-","24","-","none","rock 'n' country"
"1976","vaya con dios","7","59","41","1","-","48","-","-","none","rock 'n' country"
"1976","living it down","2","72","-","1","-","-","-","-","none","if you're ever in texas"
"1977","the rains came","4","-","-","1","-","-","-","-","none","rock 'n' country"
"1977","if you don't love me","11","-","-","16","-","-","-","-","none","if you don't love me"
"1977","think about me","18","-","-","10","-","-","-","-","none","if you don't love me"
"1978","if you're looking for a fool","34","-","-","-","-","-","-","-","none","if you don't love me"
"1978","talk to me","13","103","-","10","-","-","-","-","none","swamp gold"
"1978","i'm leaving it all up to you","26","-","-","20","-","-","-","-","none","swamp gold"
"1979","walking piece of heaven","22","-","-","13","-","-","-","-","none","tex-mex"
"1979","yours","22","-","-","23","-","-","-","-","none","the texas balladeer"
"1979","squeeze box","61","-","-","-","-","-","-","-","none","the texas balladeer"
"1980","my special prayer","83","-","-","-","-","-","-","-","none","the texas balladeer"
"1980","please talk to my heart","82","-","-","-","-","-","-","-","none","together we drifted apart"
"1983","chokin' kind","87","-","-","-","-","-","-","-","none","n/a"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart","none"
