"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"queens park rangers","1907-08","southern league first division","12","0","0","0","-","-","12","0"
"queens park rangers","1908-09","southern league first division","23","0","1","0","-","-","24","0"
"queens park rangers","1909-10","southern league first division","30","1","7","0","-","-","37","1"
"queens park rangers","1910-11","southern league first division","33","0","1","0","-","-","34","0"
"queens park rangers","1911-12","southern league first division","37","2","2","0","1","0","40","2"
"queens park rangers","1912-13","southern league first division","38","1","2","0","-","-","40","1"
"queens park rangers","1913-14","southern league first division","33","1","5","1","-","-","38","2"
"queens park rangers","1914-15","southern league first division","30","1","3","0","-","-","33","1"
"queens park rangers","1919-20","southern league first division","35","2","1","0","-","-","36","0"
"queens park rangers","1920-21","third division","35","3","2","0","-","-","37","0"
"queens park rangers","total","total","306","11","24","1","1","0","331","12"
"brentford","1921-22","third division south","13","2","3","1","-","-","16","3"
"career total","career total","career total","319","13","27","2","1","0","347","15"
