"candidate","party","first ballot","first ballot","second ballot","second ballot","third ballot","third ballot"
"candidate","party","votes","%","votes","%","votes","%"
"urho kekkonen","agrarian league","88","29.3","102","34.0","151","50.3"
"karl august fagerholm","social democratic party","72","24.0","114","38.0","149","49.7"
"sakari tuomioja","liberal league","57","19.0","-","-","-","-"
"eino kilpi","finnish people's democratic league","56","18.7","-","-","-","-"
"ralf torngren","swedish people's party","20","6.7","-","-","-","-"
"eero rydman","people's party of finland","7","2.3","-","-","-","-"
"juho kusti paasikivi","national coalition party","-","-","84","28.0","-","-"
"total","total","300","100","300","100","300","100"
"source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover"
