"","revised average level","previously-published average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"2016","","",""
"household final consumption expenditure","1,153,668","1,156,810","-3,142"
"government final consumption expenditure","426,335","426,282","53"
"non-profit institutions serving households' final consumption expenditure","30,951","30,975","-24"
"business gross fixed capital formation","382,196","386,668","-4,472"
"government gross fixed capital formation","76,854","75,064","1,790"
"non-profit institutions serving households' gross fixed capital formation","2,212","2,905","-693"
"inventories","-228","-606","378"
"exports","638,095","632,438","5,657"
"imports","685,868","681,156","4,712"
"gross domestic product at market prices","2,025,535","2,028,223","-2,688"
"2017","","",""
"household final consumption expenditure","1,208,438","1,211,648","-3,210"
"government final consumption expenditure","444,149","442,831","1,318"
"non-profit institutions serving households' final consumption expenditure","31,976","32,490","-514"
"business gross fixed capital formation","401,686","402,774","-1,088"
"government gross fixed capital formation","82,784","80,872","1,912"
"non-profit institutions serving households' gross fixed capital formation","2,290","3,077","-787"
"inventories","17,088","17,515","-427"
"exports","672,533","664,772","7,761"
"imports","719,909","714,424","5,485"
"gross domestic product at market prices","2,141,107","2,141,508","-401"
"2018","","",""
"household final consumption expenditure","1,255,327","1,257,675","-2,348"
"government final consumption expenditure","465,792","462,662","3,130"
"non-profit institutions serving households' final consumption expenditure","33,207","34,028","-821"
"business gross fixed capital formation","409,835","410,214","-379"
"government gross fixed capital formation","89,087","85,685","3,402"
"non-profit institutions serving households' gross fixed capital formation","2,325","3,094","-769"
"inventories","11,904","12,136","-232"
"exports","713,351","706,029","7,322"
"imports","756,913","753,008","3,905"
"gross domestic product at market prices","2,223,856","2,219,061","4,795"
"2016 to 2018 average","","",""
"household final consumption expenditure","1,205,811","1,208,711","-2,900"
"government final consumption expenditure","445,425","443,925","1,500"
"non-profit institutions serving households' final consumption expenditure","32,045","32,498","-453"
"business gross fixed capital formation","397,906","399,885","-1,980"
"government gross fixed capital formation","82,908","80,540","2,368"
"non-profit institutions serving households' gross fixed capital formation","2,276","3,025","-750"
"inventories","9,588","9,682","-94"
"exports","674,660","667,746","6,913"
"imports","720,897","716,196","4,701"
"gross domestic product at market prices","2,130,166","2,129,597","569"
