"province and territory","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related"
"province and territory","2018","2018","2018","2018","2017r","2017r","2017r","2017r"
"province and territory","number","percent","rate","number of total homicides","number","percent","rate","number of total homicides"
"newfoundland and labrador","1","50.0","0.19","2","0","0.0","0.00","4"
"prince edward island","0","..","0.00","0","0","0.0","0.00","2"
"nova scotia","4","36.4","0.42","11","8","40.0","0.84","21"
"new brunswick","5","38.5","0.65","13","5","55.6","0.65","10"
"quebec","30","36.1","0.36","83","35","39.3","0.42","93"
"ontario","120","48.4","0.84","266","84","43.8","0.60","197"
"manitoba","6","11.3","0.44","55","13","28.3","0.97","47"
"saskatchewan","12","37.5","1.03","34","10","26.3","0.87","38"
"alberta","31","39.2","0.72","81","51","44.7","1.20","119"
"british columbia","40","51.3","0.80","89","58","53.7","1.18","119"
"yukon","0","0.0","0.00","3","2","33.3","5.05","8"
"northwest territories","0","0.0","0.00","6","0","0.0","0.00","2"
"nunavut","0","0.0","0.00","8","1","16.7","2.66","6"
"canada","249","40.5","0.67","651","267","42.2","0.73","666"
