"club","division","season","league","league","cup","cup","continental","continental","other","other","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"goteborg","allsvenskan","2009","0","0","1","0","0","0","-","-","1","0"
"goteborg","allsvenskan","2010","5","1","0","0","0","0","-","-","5","1"
"goteborg","total","total","5","1","1","0","0","0","0","0","6","1"
"orebro","allsvenskan","2011","12","1","1","0","0","0","-","-","13","1"
"orebro","allsvenskan","2012","16","6","0","0","-","-","-","-","16","6"
"orebro","superettan","2013","9","0","1","0","-","-","-","-","10","0"
"orebro","allsvenskan","2014","0","0","0","0","-","-","-","-","0","0"
"orebro","total","total","37","7","2","0","0","0","0","0","39","7"
"orgryte","division 1","2015","22","20","0","0","-","-","2","0","24","20"
"orgryte","superettan","2016","26","9","1","0","-","-","-","-","27","9"
"orgryte","superettan","2017","23","5","1","0","-","-","1","1","25","6"
"orgryte","superettan","2018","0","0","0","0","-","-","-","-","0","0"
"orgryte","total","total","71","34","2","0","0","0","3","1","76","35"
"career total","career total","career total","113","42","5","0","0","0","3","1","121","43"
