"income, education, employment characteristics","crude rate per 100,000","95% confidence interval","95% confidence interval","age-standardized rate per 100,000","95% confidence interval","95% confidence interval","age-standardized rate ratio","95% confidence interval","95% confidence interval"
"income, education, employment characteristics","crude rate per 100,000","from","to","age-standardized rate per 100,000","from","to","age-standardized rate ratio","from","to"
"household income quintile","","","","","","","","",""
"quintile 1","23.4","21.0","25.8","25.8","23.2","28.5","3.9","3.4","4.6"
"2","12.7","10.9","14.5","13.6","11.5","15.6","2.1","1.8","2.4"
"3","9.0","7.6","10.4","9.3","7.8","10.7","1.4","1.2","1.6"
"4","7.0","5.9","8.1","7.2","6.0","8.4","1.1","0.9","1.3"
"quintile 5","6.6","5.5","7.8","6.6","5.6","7.6","","..",".."
"highest level of educational attainment","","","","","","","","",""
"no certificate, diploma or degree","23.0","20.4","25.7","26.3","23.0","29.6","2.1","1.9","2.4"
"high school diploma (or equivalent) and/or trade certificate","14.3","12.8","15.8","14.6","13.0","16.1","1.2","1.0","1.3"
"college diploma or university below bachelor's level","12.7","11.1","14.4","12.4","10.7","14.1","","..",".."
"university degree","5.5","4.3","6.7","5.8","4.4","7.2","0.5","0.4","0.5"
"labour force status","","","","","","","","",""
"employed","6.5","5.8","7.2","6.6","5.9","7.4","","..",".."
"unemployed","20.1","14.5","25.6","20.4","13.9","26.9","3.1","2.8","3.5"
"not in labour force","30.8","27.8","33.7","32.5","29.3","35.7","4.8","3.0","7.5"
"not in labour force","19.6","16.6","22.5","19.6","16.6","22.5","3.0","2.6","3.3"
"occupation","","","","","","","","",""
"management","5.1","2.8","7.4","6.4","3.6","9.2","0.7","0.6","0.9"
"business, finance and administration","7.3","5.6","8.9","7.0","5.4","8.6","0.8","0.6","0.9"
"natural and applied sciences and related","3.0","1.9","4.0","2.8","1.6","4.0","0.3","0.2","0.4"
"health","9.2","5.7","12.8","8.3","5.1","11.4","0.9","0.7","1.1"
"education, law, social, community, and government services","6.8","5.0","8.6","6.6","4.9","8.3","0.7","0.6","0.9"
"art, culture, recreation, sport","6.1","3.6","8.6","7.0","3.5","10.5","0.8","0.6","0.9"
"sales and service","9.5","7.7","11.3","9.1","7.2","11.0","","..",".."
"trades, transport, equipment operators, and related","9.7","7.9","11.5","9.5","7.7","11.3","1.0","0.9","1.3"
"natural resources, agriculture, and related production","6.7","3.8","9.7","6.6","3.5","9.6","0.7","0.6","0.9"
"manufacturing, and utilities","8.2","5.2","11.2","12.7","2.4","23.1","1.4","1.1","1.7"
