"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"zeytinburnuspor","2001-2003","first league","10","8","-","-","16","1","26","9"
"zeytinburnuspor","total","total","10","8","-","-","16","1","26","9"
"hatay sanayispor","2003-2006","second league","none","none","-","-","5","1","5","1"
"hatay sanayispor","total","total","none","none","-","-","5","1","5","1"
"dostlukspor","2006-2008","second league","none","none","-","-","7","2","7","2"
"dostlukspor","total","total","none","none","-","-","7","2","7","2"
"sakarya yenikent gunesspor","2008-09","first league","18","8","-","-","3","2","21","10"
"sakarya yenikent gunesspor","total","total","18","8","-","-","3","2","21","10"
"luleburgaz 39 spor","2009-10","second league","17","42","-","-","3","0","20","42"
"luleburgaz 39 spor","2010-11","first league","21","21","-","-","3","2","24","23"
"luleburgaz 39 spor","2011-12","first league","18","10","-","-","10","0","28","10"
"luleburgaz 39 spor","total","total","56","73","-","-","16","2","72","75"
"konak belediyespor","2012-13","first league","18","2","none","none","2","0","20","2"
"konak belediyespor","2013-14","first league","16","0","5","0","9","0","30","0"
"konak belediyespor","2014-15","first league","17","5","-","-","4","1","20","6"
"konak belediyespor","total","total","51","7","5","0","15","1","71","8"
"kirecburnu spor","2015-16","first league","18","12","-","-","10","0","28","12"
"kirecburnu spor","total","total","18","12","-","-","10","0","28","12"
"konak belediyespor","2016-17","first league","24","5","3","1","0","0","27","6"
"konak belediyespor","2017-18","first league","16","4","3","1","0","0","19","5"
"konak belediyespor","total","total","40","9","6","2","0","0","46","11"
"atasehir belediyespor","2018-19","first league","0","0","3","0","0","0","3","0"
"atasehir belediyespor","total","total","0","0","3","0","0","0","3","0"
"besiktas j.k","2018-19","first league","16","6","none","none","0","0","16","6"
"besiktas j.k","total","total","16","6","none","none","0","0","16","6"
"career total","career total","career total","209","123","14","2","72","9","295","134"
