"level and field of highest degree and employment sector","all employed","occupation","occupation","occupation"
"level and field of highest degree and employment sector","college graduates","s&e","s&e-related","non-s&e"
"all employed college graduates","58000","80000","65000","51000"
"highest level of degree attainment","","","",""
"bachelor's","51000","77000","58000","47000"
"master's","62000","83000","68000","58000"
"doctorate","83000","87000","92000","74000"
"professional","110000","70000","125000","100000"
"field of highest degree","","","",""
"s&e","65000","81000","65000","50000"
"s&e-related","65000","73000","71000","49000"
"non-s&e","52000","75000","50000","52000"
"employment sector","","","",""
"educational institutions","46000","47000","52000","45000"
"4-year colleges, medical schools, university-affiliated research institutes","50000","45000","62000","46000"
"2-year colleges, precollege, and other institutions","45000","52000","49000","45000"
"government","65000","78000","71000","60000"
"federal","80000","90000","83000","76000"
"state and local","56000","66000","61000","53000"
"business or industry","62000","87000","72000","53000"
"for profit","69000","90000","76000","60000"
"self-employed, not incorporated","30000","43000","58000","30000"
"nonprofit","53000","70000","65000","45000"
