"impacts of incidents","male victims","female victims","total victims"
"impacts of incidents","percent","percent","percent"
"avoided or wanted to avoid specific people at work","","",""
"never","53","17","34"
"sometimes","35","38","36"
"always","f","45","29"
"negative impacts on personal or social life","","",""
"never","69","32","49"
"sometimes","26","40","34"
"always","f","28","17"
"stayed or wanted to stay away from specific locations on the base, wing, or formation","","",""
"never","58","42","50"
"sometimes","33","31","33"
"always","f","27","18"
"stayed or wanted to stay away from the gym on the base, wing, or formation","","",""
"never","83","70","76"
"sometimes","17","15","16"
"always","f","15","7.9"
"avoided or wanted to avoid the mess","","",""
"never","71","46","57"
"sometimes","26","32","30"
"always","f","23","13"
"missed work or worked fewer hours","","",""
"never experienced any of these impacts","88","64","76"
"sometimes","f","28","20"
"always","f","f","f"
"avoided optional work-related social functions","","",""
"never","71","44","57"
"sometimes","18","42","30"
"always","f","14","13"
"negative emotional impacts","","",""
"never","58","28","42"
"sometimes","33","40","37"
"always","f","32","21"
"difficulty sleeping","","",""
"never","77","49","62"
"sometimes","20","26","23"
"always","f","25","15"
"loss of trust in chain of command","","",""
"never","64","56","59"
"sometimes","23","23","24"
"always","f","21","17"
"loss of trust in unit","","",""
"never","72","53","61"
"sometimes","f","27","22"
"always","f","20","17"
"overall impact","","",""
"never experienced any of these impacts","36","f","22"
"stated 'sometimes' for at least one of these impacts","41","40","40"
"stated 'always' for at least one of these impacts","24","50","37"
