"name","yugoslav first league","yugoslav first league","yugoslav cup","yugoslav cup","danube cup","danube cup","total","total"
"name","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"socialist federal republic of yugoslavia vladimir beara","19","0","4","0","0","0","23","0"
"socialist federal republic of yugoslavia tatomir radunovic","2","0","2","0","5","0","9","0"
"socialist federal republic of yugoslavia spira đuric","1","0","0","0","0","0","1","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"socialist federal republic of yugoslavia ljubisa spajic","20","0","3","0","8","0","31","0"
"socialist federal republic of yugoslavia miljan zekovic","20","0","5","0","5","0","30","0"
"socialist federal republic of yugoslavia vladimir durkovic","18","0","5","0","1","0","24","0"
"socialist federal republic of yugoslavia dimitrije stojanovic","7","0","1","0","8","0","16","0"
"socialist federal republic of yugoslavia branko nesovic","2","0","1","0","0","0","3","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"socialist federal republic of yugoslavia nikola stipic","17","2","4","0","8","2","29","4"
"socialist federal republic of yugoslavia dragoslav sekularac","18","2","4","0","3","1","25","3"
"socialist federal republic of yugoslavia ranko borozan","13","0","4","0","8","1","25","1"
"socialist federal republic of yugoslavia lazar tasic","15","1","3","0","5","0","23","1"
"socialist federal republic of yugoslavia vladica popovic","15","0","4","0","4","0","23","0"
"socialist federal republic of yugoslavia dusan maravic","15","3","3","1","0","0","18","4"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"socialist federal republic of yugoslavia bora kostic","22","25","5","11","8","9","35","45"
"socialist federal republic of yugoslavia antun rudinski","17","7","5","2","0","0","22","9"
"socialist federal republic of yugoslavia ivan popovic","10","6","1","0","5","0","16","6"
"socialist federal republic of yugoslavia rajko mitic","11","2","0","0","0","0","11","2"
"socialist federal republic of yugoslavia selimir milosevic","3","1","0","0","7","2","10","3"
"socialist federal republic of yugoslavia vladimir nikolovski","2","0","2","2","0","0","4","2"
"socialist federal republic of yugoslavia ivan toplak","1","0","0","0","0","0","1","0"
"danube cup players","danube cup players","danube cup players","danube cup players","danube cup players","danube cup players","danube cup players","danube cup players","danube cup players"
"socialist federal republic of yugoslavia branko milanovic","0","0","0","0","7","1","7","1"
"socialist federal republic of yugoslavia vojislav srdic","0","0","0","0","3","0","3","0"
"socialist federal republic of yugoslavia novak tomic","0","0","0","0","3","0","3","0"
"socialist federal republic of yugoslavia jovan gajic","0","0","0","0","3","0","3","0"
