"characteristic","fy 2014","fy 2015","% change"
"all r&d and r&d plant expenditures","1906586","2240042","17.5"
"all r&d expenditures","1885923","2205147","16.9"
"source of funds","","",""
"federal government","482439","483984","0.3"
"state government and other nonfederal sources","1403484","1721163","22.6"
"all r&d plant expenditures","20663","34896","68.9"
"performer","","",""
"intramurala","577638","581667","0.7"
"extramural","1308285","1623479","24.1"
"academic institutions","820591","951096","15.9"
"companies and individuals","284414","449158","57.9"
"other","203280","223226","9.8"
"intramural by type of r&d","","",""
"basic research","na","110468","na"
"applied research","na","458172","na"
"experimental development","na","13027","na"
"r&d project by government function","","",""
"agriculture","129029","127363","-1.3"
"energy","120229","312114","159.6"
"environment and natural resources","366678","413230","12.7"
"health","852894","939828","10.2"
"transportation","253299","247780","-2.2"
"otherb","163794","164831","0.6"
