"","being canadian","political influence in the world","canada's achievement in arts and literature","canada's economic achievements","treatment of all groups in society","social security system","canada's achievements in sports","scientific and technological achievements","the way democracy works","canada's constitution","health care system","canada's armed forces","canada's history"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"total","87","46","51","54","56","57","59","59","59","63","64","64","70"
"sex","","","","","","","","","","","","",""
"men","86","48","49","58","59","60","61","62","60","65","68","65","72"
"women","88","45","54","51","53","54","57","55","58","61","61","64","67"
"age group","","","","","","","","","","","","",""
"15-24","86","51","56","55","66","65","64","59","61","68","78","66","71"
"25-34","83","41","50","51","59","54","56","54","55","62","65","58","64"
"35-44","87","46","52","57","58","55","57","60","62","66","62","63","69"
"45-54","87","47","52","54","55","51","59","60","60","62","59","64","69"
"55-64","86","47","51","54","51","54","58","61","58","59","60","65","70"
"65-74","91","47","50","56","51","62","59","62","59","60","61","69","74"
"75","94","48","47","52","49","66","58","56","58","57","66","73","74"
"highest level of education completed","","","","","","","","","","","","",""
"less than high school","91","47","48","49","56","59","60","56","55","57","65","71","72"
"high school","89","48","51","55","59","56","62","59","58","65","65","68","73"
"post-secondary diploma","86","47","51","53","53","52","61","59","57","61","60","65","70"
"university degree","85","44","54","59","58","63","53","60","65","66","68","57","65"
"household income","","","","","","","","","","","","",""
"less than $20,000","85","46","51","48","52","57","55","55","51","57","60","64","67"
"$20,000-$39,999","86","44","51","49","52","57","58","58","52","59","58","66","70"
"$40,000-$59,999","84","46","51","51","53","55","58","59","54","59","60","64","68"
"$60,000-$79,999","86","46","53","56","55","57","60","60","58","63","64","63","70"
"$80,000-$99,999","87","47","51","55","60","59","58","61","61","65","68","63","71"
"$100,000-$149,999","87","46","50","57","57","57","59","58","61","65","68","63","69"
"$150,000","90","50","53","63","61","61","59","60","70","69","70","63","70"
"immigrant status","","","","","","","","","","","","",""
"immigrant status","92","53","54","67","69","71","57","65","72","71","71","64","70"
"non-immigrant","86","45","51","51","53","54","60","57","56","60","63","65","69"
"visible minority","","","","","","","","","","","","",""
"visible minority","91","52","54","65","71","73","56","64","72","72","77","63","69"
"non-visible minority","86","45","51","52","53","54","60","58","57","61","62","65","70"
"aboriginal identity","","","","","","","","","","","","",""
"aboriginal","87","41","57","47","49","50","63","54","49","58","62","72","65"
"non-aboriginal","87","47","51","55","57","58","59","59","59","63","64","64","70"
