"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"notts county","1963-64","third division","2","0","0","0","0","0","2","0"
"notts county","1964-65","fourth division","2","0","0","0","1","1","3","1"
"notts county","total","total","4","0","0","0","1","1","5","1"
"colchester united","1974-75","third division","46","16","2","1","6","1","54","18"
"colchester united","1975-76","third division","41","5","1","0","2","0","44","5"
"colchester united","1976-77","fourth division","43","6","6","2","3","0","52","8"
"colchester united","1977-78","third division","25","2","4","0","5","2","34","4"
"colchester united","total","total","155","29","13","3","16","3","184","35"
"port vale","1977-78","third division","12","3","0","0","0","0","12","3"
"port vale","1978-79","fourth division","2","0","0","0","1","0","3","0"
"port vale","total","total","14","3","0","0","1","0","15","3"
"northampton town","1978-79","fourth division","42","13","1","0","0","0","43","13"
"career total","career total","career total","215","45","14","3","18","4","247","52"
