"year","single","christian peak chart positions","christian peak chart positions","christian peak chart positions","christian peak chart positions","christian peak chart positions","christian peak chart positions","christian peak chart positions","album"
"year","single","christian","airplay","inspo","ac","chr","rock","metal","album"
"1991","my god","-","-","-","-","-","-","5","audio adrenaline"
"1992","who do you love?","-","-","-","-","13","-","-","audio adrenaline"
"1992","audio world","-","-","-","-","16","-","-","audio adrenaline"
"1994","my world view","-","-","-","33","3","-","-","don't censor me"
"1994","we're a band","-","-","-","-","-","3","-","don't censor me"
"1994","big house","-","-","-","-","1","14","-","don't censor me"
"1994",""can't take god away","-","-","-","-","1","-","-","don't censor me"
"1994","rest easy","-","-","-","-","10","-","-","don't censor me"
"1994","don't censor me","-","-","-","-","-","18","-","don't censor me"
"1995","a.k.a. public school","-","-","-","-","14","-","-","don't censor me"
"1995","righteous rocker #3","-","-","-","-","-","1","-","one way: the songs of larry norman"
"1996","never gonna be as big as jesus","-","-","-","-","3","-","-","bloom"
"1996","secret","-","-","-","-","-","1","-","bloom"
"1996","walk on water","-","-","-","38","1","-","-","bloom"
"1996","i'm not the king","-","-","-","-","-","1","-","bloom"
"1996","good people","-","-","-","-","3","-","-","bloom"
"1997","free ride","-","-","-","-","9","2","-","bloom"
"1997","man of god","-","-","-","-","2","-","-","bloom"
"1997","some kind of zombie","-","-","-","-","-","1","-","some kind of zombie"
"1997","people like me","-","-","-","-","1","4","-","some kind of zombie"
"1998","blitz","-","-","-","-","25","1","-","some kind of zombie"
"1998","chevette","-","-","-","-","5","1","-","some kind of zombie"
"1998","god-shaped hole","-","-","-","-","17","-","-","some kind of zombie"
"1999","new body","-","-","-","-","11","2","-","some kind of zombie"
"1999","get down","-","-","-","-","1","7","-","underdog"
"1999","hands and feet","-","-","-","7","1","6","-","underdog"
"2000","underdog","-","-","-","-","-","5","-","underdog"
"2000","good life","-","-","-","-","3","-","-","underdog"
"2001","mighty good leader","-","-","-","-","-","14","-","underdog"
"2001","one like you","-","-","-","-","2","-","-","hit parade"
"2001","will not fade","-","-","-","-","-","2","-","hit parade"
"2001","beautiful","-","-","-","-","1","-","-","lift"
"2001","lonely man","-","-","-","-","-","1","-","lift"
"2002","rejoice","-","-","-","-","2","-","-","lift"
"2003",""dirty"/"ocean floor"","-","-","-","-","2","-","-","worldwide"
"2003","pierced","12","-","-","14","-","-","-","worldwide"
"2003","church punks","-","-","-","-","-","9","-","worldwide"
"2003","strong","-","-","-","-","-","-","-","worldwide"
"2003","worldwide","-","-","-","-","-","30","-","worldwide"
"2004","leaving 99","5","-","-","3","1","-","-","worldwide"
"2004","miracle","-","-","-","-","9","-","-","worldwide"
"2005","start a fire","-","-","-","-","-","-","-","worldwide"
"2005","king","17","-","-","18","17","-","-","until my heart caves in"
"2005","undefeated","-","-","-","-","-","19","-","until my heart caves in"
"2005","starting over","-","-","-","-","-","-","-","until my heart caves in"
"2005","melody","-","-","-","-","-","-","-","until my heart caves in"
"2006","goodbye","-","-","-","-","29","-","-","adios: the greatest hits"
"2012","kings & queens","4","-","11","7","4","-","-","kings & queens"
"2013","believer","19","-","-","23","-","-","-","kings & queens"
"2013","king of the comebacks","-","-","-","-","-","22","-","kings & queens"
"2014","he moves you move","-","49","-","-","22","-","-","kings & queens"
"2015","love was stronger","-","33","-","-","-","-","-","sound of the saints"
"2015","move","-","-","-","-","-","-","-","sound of the saints"
""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart",""-" denotes singles that did not chart"
