"","men","women"
"","percent","percent"
"food secure household","",""
"couple with children","75.7","74.3"
"couple without children","81.1","78.1"
"lone-parent household","63.0","45.6"
"other family household","74.9","49.4"
"non-family household","69.6","51.5"
"household income enough or more than enough to meet household needs","",""
"couple with children","84.9","85.7"
"couple without children","86.8","84.9"
"lone-parent household","78.9","59.6"
"other family household","87.5","54.8"
"non-family household","86.4","67.2"
"able to cover unexpected expense of $500","",""
"couple with children","77.1","72.8"
"couple without children","77.4","78.2"
"lone-parent household","63.8","38.8"
"other family household","85.2","41.0"
"non-family household","69.4","52.7"
