"club","season","league","league","league","scottish cup","scottish cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rangers","2001-02","premier league","1","0","0","0","0","0","0","0","1","0"
"brechin city","2003-04","first division","15","0","0","0","0","0","0","0","15","0"
"partick thistle","2004-05","first division","27","0","2","0","2","1","2","0","33","1"
"stranraer","2005-06","first division","22","0","1","0","2","0","1","0","26","0"
"ross county","2006-07","first division","36","2","1","0","2","0","3","1","42","3"
"ross county","2007-08","second division","34","2","3","1","2","1","2","0","41","4"
"ross county","2008-09","first division","29","1","1","0","1","0","3","1","34","2"
"ross county","ross county total","ross county total","99","5","5","1","5","1","8","2","117","9"
"dunfermline athletic","2009-10","first division","32","0","3","0","1","0","1","0","37","0"
"dunfermline athletic","2010-11","first division","26","0","0","0","2","0","0","0","28","0"
"dunfermline athletic","2011-12","premier league","30","0","2","0","2","0","-","-","34","0"
"dunfermline athletic","2012-13","first division","30","2","2","0","2","0","1","0","35","2"
"dunfermline athletic","dunfermline total","dunfermline total","118","2","7","0","7","0","2","0","134","2"
"partick thistle","2012-13","first division","5","1","-","-","5","1","none","none","none","none"
"queen of the south","2013-14","championship","28","2","0","0","3","0","3","0","34","2"
"queen of the south","2014-15","championship","34","2","3","0","2","0","3","1","42","3"
"queen of the south","2015-16","championship","29","0","1","0","2","0","1","0","33","0"
"queen of the south","2016-17","championship","27","0","1","0","6","1","4","0","38","1"
"queen of the south","queen of the south total","queen of the south total","118","4","5","0","13","1","11","1","147","6"
"dumbarton","2017-18","championship","31","0","3","0","4","0","10","0","48","0"
"dumbarton","2018-19","league one","19","2","1","0","4","0","2","0","26","2"
"dumbarton","dumbarton total","dumbarton total","50","2","4","0","8","0","12","0","74","2"
"career total","career total","career total","455","14","17","1","30","3","34","3","552","21"
