"outcome variable","total gap","proportion of gap accounted for by differences in:","proportion of gap accounted for by differences in:","proportion of gap accounted for by differences in:","proportion of gap accounted for by differences in:","proportion of gap accounted for by differences in:","proportion of gap accounted for by differences in:"
"outcome variable","total gap","all covariates","province fixed effects covariates","socio-economic covariates","school resources and practices covariates","peer effects covariates","unobserved factors"
"outcome variable","proportion","proportion","proportion","proportion","proportion","proportion","proportion"
"log of reading score","0.081","0.840","0.293","0.271","-0.007","0.283","0.160"
"log of mathematics score","0.084","1.032","0.523","0.270","-0.084","0.324","-0.032"
"log of science score","0.088","0.841","0.255","0.286","0.130","0.170","0.159"
"high school graduation","0.034","1.337","0.722","0.527","-0.137","0.224","-0.337"
"postsecondary attendance","0.116","0.544","0.084","0.409","-0.238","0.290","0.456"
"university attendance","0.178","1.025","-0.009","0.547","0.123","0.364","-0.025"
"postsecondary graduation","0.162","0.566","0.320","0.203","-0.090","0.133","0.434"
"university graduation","0.139","0.735","-0.010","0.421","0.054","0.270","0.265"
"graduate or professional studies","0.081","0.646","0.165","0.248","0.056","0.177","0.354"
