"","neet rate","neet rate","neet rate","neet rate","neet rate","neet rate","neet rate","neet rate","neet rate"
"","february 2020","april 2020","change between february 2020 and april 2020","february 2020","april 2020","change between february 2020 and april 2020","february 2020","april 2020","change between february 2020 and april 2020"
"","(%)","(%)","percentage points","(%)","(%)","percentage points","(%)","(%)","percentage points"
"15 to 29","12","24","+13","11","24","+13","12","25","+12"
"indigenous population","22","31","+9","23","33","+10","20","29","+8"
"immigrants","13","27","+13","14","32","+17","12","22","+9"
"rural areas","13","24","+11","13","23","+10","13","25","+12"
"population centres","11","24","+13","10","24","+13","12","24","+12"
"25 to 29","15","28","+13","16","29","+13","15","28","+13"
"children present in household","25","33","+9","30","37","+6","12","26","+13"
"educational attainment","","","","","","","","",""
"no high school diploma","46","56","+10","55","63","+7","39","51","+12"
"high school diploma","21","37","+16","26","41","+16","18","34","+16"
"trades diploma","15","35","+20","12","34","+22","17","36","+20"
"college, cegep diploma","13","26","+13","15","28","+13","11","24","+13"
"bachelor's degree","9","19","+10","8","21","+13","10","17","+7"
"master's or doctoral degree","9","18","+8","12","18","+7","6","17","+11"
