"","off-reserve first nations","off-reserve first nations","metis","metis","inuit","inuit"
"","adjusted probability","fold-change","adjusted probability","fold-change","adjusted probability","fold-change"
"self-reported-physician-diagnosed mood and/or anxiety disorder(s)","","","","","",""
"no","0.06","..","0.03","..","0.10",".."
"yes","0.08","1.3","0.09","3.0","0.25","2.5"
"drug use","","","","","",""
"no","0.05","..","0.03","..","0.09",".."
"yes","0.10","2.0","0.09","3.0","0.20","2.2"
"heavy, frequent drinking","","","","","",""
"no","0.07","..","0.05","..","0.12",".."
"yes","0.08","1.1","0.05","1.0","0.11","0.9"
"daily smoking","","","","","",""
"no","-","..","-","..","0.08",".."
"yes","-","-","-","-","0.14","1.8"
"hopelessness","","","","","",""
"no","0.07","..","0.05","..","0.11",".."
"yes","0.06","0.9","0.09","1.8","0.23","2.1"
"high self-worth","","","","","",""
"no","0.20","..","0.14","..","0.20",".."
"yes","0.01","0.1","0.02","0.1","0.08","0.4"
"personal/parent/grandparent history of residential school attendance","","","","","",""
"no","0.05","..","-","..","0.16",".."
"yes","0.08","1.6","-","-","0.10","0.6"
"don't know, refusal, not stated","0.07","1.4","-","-","0.13","0.8"
"parental/family involvement","","","","","",""
"no","0.08","..","0.06","-","0.16","-"
"yes","0.06","0.8","0.05","0.8","0.06","0.4"
"high social support","","","","","",""
"no","0.10","..","0.07","..","0.13",".."
"yes","0.06","0.6","0.05","0.7","0.11","0.8"
"strong extended family ties","","","","","",""
"no","0.09","..","0.04","..","0.11",".."
"yes","0.06","0.7","0.06","1.5","0.12","1.1"
"perceived bullying problem in school","","","","","",""
"no","0.06","..","0.06","-","0.11","-"
"yes","0.08","1.3","0.05","0.8","0.12","1.1"
"currently attending school","","","","","",""
"not attending","0.08","..","0.06","..","0.11",".."
"attending high school or high school equivalency","0.07","0.9","0.07","1.2","0.14","1.3"
"attending post-secondary institution","0.04","0.5","0.04","0.7","0.10","0.9"
"sex","","","","","",""
"male","0.07","..","0.06","..","0.11",".."
"female","0.07","1.0","0.05","0.8","0.12","1.1"
