"","employment rate","employment rate","employment rate"
"","women","men","difference"
"","percent","percent","percentage points"
"total, all education levels","77.5","85.3","-7.8"
"no degree, certificate or diploma","49.0","67.2","-18.2"
"high school graduate","69.3","81.9","-12.6"
"high school graduate, some postsecondary","70.5","80.5","-10.0"
"postsecondary certificate or diploma","82.1","88.7","-6.6"
"without high school graduation","72.5","80.3","-7.8"
"with high school graduation","82.5","89.3","-6.8"
"university degree","83.1","89.9","-6.8"
"bachelor's degree","83.1","90.3","-7.2"
"above bachelor's degree","83.3","89.3","-6.0"
