"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"brentford","1948-49","second division","19","0","2","1","-","-","21","1"
"brentford","1950-51","second division","29","1","1","0","-","-","30","1"
"brentford","1951-52","second division","37","1","4","0","-","-","41","1"
"brentford","1952-53","second division","36","3","3","0","-","-","39","3"
"brentford","1953-54","second division","26","1","0","0","-","-","26","1"
"brentford","1954-55","third division south","26","0","5","0","-","-","31","0"
"brentford","total","total","173","6","15","1","-","-","188","7"
"headington united","1955-56","southern league","20","0","0","0","1","0","21","0"
"headington united","1956-57","southern league","35","3","1","0","2","0","38","3"
"headington united","1957-58","southern league","40","2","5","0","3","0","48","2"
"headington united","1958-59","southern league north west division","15","1","4","0","4","0","23","1"
"headington united","1959-60","southern league","6","0","0","0","1","0","7","0"
"headington united","total","total","116","6","10","0","11","0","137","6"
"career total","career total","career total","289","12","25","1","11","0","325","13"
