"","1999","2016","change"
"","2016 constant dollars","2016 constant dollars","2016 constant dollars"
"senior families with debt","298,900","537,400","238,500"
"sex of major income earner","","",""
"male","380,500","608,500","228,000"
"female","166,300","435,300","269,000"
"age of major income earner","","",""
"65 to 69","374,000","608,500","234,500"
"70 to 74","273,700","543,600","269,900"
"75 to 79","233,300","532,800","299,500"
"80 and over","213,300","374,100","160,800"
"highest level of education of major income earner","","",""
"less than high school","208,600","261,600","53,000"
"high school diploma","305,000","418,000","113,000"
"non-university postsecondary certificate or diploma","337,900","568,600","230,700"
"university degree or certificate","739,000","1,080,800","341,800"
"family structure","","",""
"unattached individual","157,000","261,600","104,600"
"male","226,700","264,200","37,500"
"female","137,100","259,900","122,800"
"couple, no children","406,600","730,000","323,400"
"other family types","326,200","736,800","410,600"
"immigrant status of major income earner","","",""
"immigrant","307,800","730,000","422,200"
"canadian-born","298,900","509,800","210,900"
"home ownership status","","",""
"owners with a mortgage","334,100","596,000","261,900"
"owners without a mortgage","414,000","817,800","403,800"
"non-owners","53,100","66,200","13,100"
"labour force status of major income earner","","",""
"employee","451,600","577,000","125,400"
"self-employed","541,100","909,500","368,400"
"not in the labour force","276,400","509,800","233,400"
"family income quintile","","",""
"bottom quintile","62,900","68,900","6,000"
"second quintile","127,200","278,100","150,900"
"middle quintile","311,000","571,400","260,400"
"fourth quintile","451,600","897,600","446,000"
"top quintile","737,900","1,399,600","661,700"
"province or region of residence","","",""
"atlantic","174,600","351,600","177,000"
"quebec","249,000","354,600","105,600"
"ontario","395,300","691,500","296,200"
"manitoba","254,600","559,200","304,600"
"saskatchewan","341,600","619,800","278,200"
"alberta","311,000","577,000","266,000"
"british columbia","340,300","733,400","393,100"
