"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"carlisle united","1967-68","second division","6","0","0","0","0","0","6","0"
"carlisle united","1968-69","second division","3","0","0","0","0","0","3","0"
"carlisle united","total","total","9","0","0","0","0","0","9","0"
"bradford park avenue","1969-70","fourth division","43","0","1","0","1","0","45","0"
"port vale","1970-71","third division","19","0","0","0","0","0","19","0"
"port vale","1971-72","third division","37","1","4","0","1","0","42","1"
"port vale","1972-73","third division","35","0","3","1","0","0","38","1"
"port vale","1973-74","third division","45","1","3","0","1","0","49","1"
"port vale","1974-75","third division","28","0","1","0","1","0","30","0"
"port vale","1975-76","third division","12","0","0","0","0","0","12","0"
"port vale","1976-77","third division","3","0","0","0","0","0","3","0"
"port vale","total","total","179","2","11","1","3","0","193","3"
"career total","career total","career total","231","2","12","1","4","0","247","3"
