"ethnic group","census 1948","census 1948","census 1953","census 1953","census 1961","census 1961","census 1971","census 1971","census 1981","census 1981","census 1991","census 1991","census 2002","census 2002","census 2011","census 2011"
"ethnic group","number","%","number","%","number","%","number","%","number","%","number","%","number","%","number","%"
"serbs","827,633","50.4","865,538","50.9","1,017,713","54.9","1,089,132","55.8","1,107,375","54.4","1,143,723","56.8","1,321,807","65.05","1,289,635","66.76"
"hungarians","428,554","26.1","435,179","25.6","442,560","23.9","423,866","21.7","385,356","18.9","339,491","16.9","290,207","14.28","251,136","13"
"slovaks","69,622","4.2","71,153","4.2","73,830","4.0","72,795","3.7","69,549","3.4","63,545","3.1","56,637","2.79","50,321","2.6"
"croats","132,980","8.1","127,027","7.5","145,341","7.8","138,561","7.1","109,203","5.4","74,808","3.7","56,546","2.78","47,033","2.43"
"yugoslavs","/","/","/","/","3,174","0.1","46,928","2.4","167,215","8.2","174,295","8.7","49,881","2.45","12,176","0.63"
"montenegrins","30,531","1.9","30,516","1.8","34,782","1.9","36,416","1.9","43,304","2.1","44,838","2.2","35,513","1.75","22,141","1.15"
"romanians","57,899","3.5","57,218","3.4","57,259","3.1","52,987","2.7","47,289","2.3","38,809","1.9","30,419","1.50","25,410","1.32"
"roma","/","/","/","/","/","/","/","/","/","/","/","/","29,057","1.43","42,391","2.19"
"total","1,640,757","1,640,757","1,699,545","1,699,545","1,854,965","1,854,965","1,952,533","1,952,533","2,034,772","2,034,772","2,013,889","2,013,889","2,031,992","2,031,992","1,916,889","1,916,889"
"note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012","note: 2011 census results about ethnicity will be published during 2012"
