"ffrdcs","2010","2012","2013","2015","2017a","change 2010-17","change 2015-17b"
"total ffrdcs","38","39","40","42","42","4","0"
"ffrdcs with a postdoc program","22","22","21","24","23","1","-1"
"all postdocs","3011","2793","2613","2696","2975","-36","279"
"university-administered ffrdcs","1234","1248","1204","1227","1296","62","69"
"ames laboratory","47","51","42","44","44","-3","0"
"argonne national laboratory","300","301","279","304","297","-3","-7"
"fermi national accelerator laboratory","61","54","55","79","97","36","18"
"jet propulsion laboratory","107","115","159","165","188","81","23"
"lawrence berkeley national laboratory","519","516","475","449","438","-81","-11"
"lincoln laboratory","0","0","0","3","4","4","1"
"national astronomy and ionosphere center","4","na","na","na","na","na","na"
"national center for atmospheric research","39","40","37","33","60","21","27"
"national optical astronomy observatoryc","6","13","11","4","1","-5","-3"
"national radio astronomy observatory","21","21","21","12","13","-8","1"
"national solar observatoryc","na","na","na","1","2","na","1"
"princeton plasma physics laboratory","17","18","15","17","22","5","5"
"slac national accelerator laboratory","54","44","41","41","46","-8","5"
"thomas jefferson national accelerator facility","59","75","69","75","84","25","9"
"nonprofit-administered ffrdcs","719","681","653","698","788","69","90"
"brookhaven national laboratory","153","181","151","133","116","-37","-17"
"national renewable energy laboratory","107","70","71","92","102","-5","10"
"oak ridge national laboratory","245","237","236","230","291","46","61"
"pacific northwest national laboratory","214","193","195","242","279","65","37"
"project air force","0","0","0","1","0","0","-1"
"industry-administered ffrdcs","1058","864","756","771","891","-167","120"
"frederick national laboratory for cancer researchd","286","25","18","14","22","-264","8"
"idaho national laboratory","15","10","8","32","34","19","2"
"lawrence livermore national laboratory","148","191","152","182","228","80","46"
"los alamos national laboratory","416","439","397","343","379","-37","36"
"sandia national laboratories","181","189","175","189","221","40","32"
"savannah river national laboratory","12","10","6","11","7","-5","-4"
