"province and territory","pre-#metoo","pre-#metoo","post-#metoo","post-#metoo","percent change in rate"
"province and territory","number","average rate","number","rate","percent"
"newfoundland and labrador","536","14.5","104","19.8","36"
"prince edward island","128","12.2","19","12.6","3"
"nova scotia","1,185","18.0","195","20.6","15"
"new brunswick","648","12.3","101","13.4","9"
"quebec","7,199","12.4","1,665","20.0","61"
"ontario","13,856","14.2","2,377","16.9","19"
"manitoba","2,396","26.0","438","33.0","27"
"saskatchewan","2,030","25.3","294","25.5","1"
"alberta","4,969","16.8","761","17.9","7"
"british columbia","4,294","12.9","718","15.0","16"
"yukon","135","50.6","16","41.7","-18"
"northwest territories","273","87.7","35","78.8","-10"
"nunavut","275","104.8","43","113.2","8"
"canada","37,924","15.0","6,766","18.6","24"
