"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rubio nu","2010","primera division","4","0","none","none","none","none","none","none","4","0"
"rubio nu","2011","primera division","8","0","none","none","none","none","none","none","8","0"
"rubio nu","2012","primera division","22","0","none","none","none","none","none","none","22","0"
"rubio nu","2013","primera division","26","0","none","none","none","none","none","none","26","0"
"rubio nu","2014","primera division","35","2","none","none","none","none","none","none","35","2"
"rubio nu","2015","primera division","21","2","none","none","none","none","none","none","21","2"
"rubio nu","2016","primera division","7","0","none","none","none","none","none","none","7","0"
"rubio nu","total","total","123","4","0","0","0","0","0","0","123","4"
"olimpia","2015","primera division","13","1","none","none","5","0","none","none","18","1"
"olimpia","2016","primera division","17","1","none","none","4","0","none","none","21","1"
"olimpia","total","total","30","2","0","0","9","0","0","0","39","2"
"san lorenzo","2016-17","primera division","1","0","0","0","0","0","none","none","1","0"
"san lorenzo","2017-18","superliga","20","0","1","0","2","0","none","none","23","0"
"san lorenzo","2018-19","superliga","0","0","0","0","1","0","none","none","1","0"
"san lorenzo","total","total","21","0","1","0","3","0","0","0","25","0"
"flamengo","2018","serie a","11","0","none","none","0","0","none","none","11","0"
"flamengo","2019","serie a","0","0","0","0","0","0","0","0","0","0"
"flamengo","total","total","11","0","0","0","0","0","0","0","11","0"
"career total","career total","career total","185","6","1","0","12","0","0","0","198","6"
