"club","season","league","league","league","cup","cup","continental","continental","state league","state league","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"flamengo","2010","serie a","3","0","","","","","","","3","0"
"flamengo","2011","serie a","18","0","3","1","2","0","7","1","30","2"
"flamengo","2012","serie a","13","0","","","5","0","12","1","30","1"
"flamengo","2014","serie a","11","0","","","2","0","10","2","23","2"
"flamengo","total","total","45","0","3","1","9","0","29","4","86","5"
"sao paulo","2013","serie a","5","0","","","","","","","5","0"
"sao paulo","total","total","5","0","0","0","0","0","0","0","5","0"
"coritiba","2015","serie a","24","2","6","0","","","11","0","41","2"
"coritiba","2016","serie a","4","1","2","0","","","16","0","22","1"
"coritiba","total","total","28","3","8","0","0","0","27","0","63","3"
"gremio","2016","serie a","11","1","","","","","","","11","1"
"gremio","total","total","11","1","0","0","0","0","0","0","11","1"
"atletico goianiense","2017","serie a","0","0","","","","","11","0","11","0"
"atletico goianiense","total","total","0","0","0","0","0","0","11","0","11","0"
"ponte preta","2017","serie a","3","0","0","0","1","0","","","4","0"
"ponte preta","total","total","3","0","0","0","1","0","0","0","4","0"
"career total","career total","career total","92","4","11","1","10","0","67","4","180","9"
