"census metropolitan areas","95th to 5th percentile","95th to 50th percentile","75th to 25th percentile","50th to 5th percentile"
"census metropolitan areas","ratio","ratio","ratio","ratio"
"halifax","3.4","1.8","1.6","1.9"
"quebec","3.5","1.7","1.6","2.0"
"montreal","4.5","2.5","1.9","1.8"
"ottawa-gatineau","4.4","2.2","1.9","2.0"
"toronto","3.9","2.2","1.7","1.7"
"winnipeg","4.1","1.8","1.6","2.3"
"calgary","3.6","2.0","1.5","1.8"
"edmonton","3.0","1.8","1.5","1.7"
"vancouver","3.4","1.7","1.5","2.0"
