"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"liverpool","2008-09","premier league","0","0","0","0","1","0","2","0","3","0"
"liverpool","2009-10","premier league","1","0","1","0","0","0","1","0","3","0"
"liverpool","2010-11","premier league","0","0","0","0","0","0","1","0","1","0"
"liverpool","total","total","1","0","1","0","1","0","4","0","7","0"
"swindon town","2009-10","league one","14","0","0","0","0","0","1","0","15","0"
"notts county","2010-11","league one","22","0","2","0","0","0","0","0","24","0"
"rochdale","2011-12","league one","35","0","0","0","3","0","2","0","40","0"
"bradford city","2012-13","league two","35","0","3","0","8","1","5","0","51","1"
"bradford city","2013-14","league one","46","0","1","0","1","0","1","0","49","0"
"bradford city","2014-15","league one","45","0","8","0","2","0","1","0","56","0"
"bradford city","2015-16","league one","46","0","5","0","0","0","3","0","54","0"
"bradford city","2016-17","league one","22","0","1","0","0","0","6","0","29","0"
"bradford city","total","total","194","0","18","0","11","1","16","0","239","1"
"bolton wanderers","2017-18","championship","3","0","0","0","2","0","0","0","5","0"
"career total","career total","career total","267","0","21","0","17","1","23","0","328","1"
