"","19 to 49 years","19 to 49 years","19 to 49 years","50 to 69 years","50 to 69 years","50 to 69 years","70 years and older","70 years and older","70 years and older"
"","linked cctlp tumour cohort","tumours with one or more surgical intervention","tumours with one or more surgical intervention","linked cctlp tumour cohort","tumours with one or more surgical intervention","tumours with one or more surgical intervention","linked cctlp tumour cohort","tumours with one or more surgical intervention","tumours with one or more surgical intervention"
"","number","number","percent","number","number","percent","number","number","percent"
"canada","10,300","9,355","90.8","25,255","23,020","91.1","14,150","11,930","84.3"
"newfoundland and labrador","190","190","98.4","560","530","94.3","290","245","84.1"
"prince edward island","40","40","97.7","180","170","94.9","100","85","87.6"
"nova scotia","405","385","95.0","1,030","970","94.4","600","500","82.6"
"new brunswick","250","240","97.6","790","755","95.3","490","410","83.1"
"ontario","5,530","4,890","88.3","12,930","11,550","89.3","7,165","5,915","82.5"
"manitoba","430","390","90.9","1,180","1,050","89.0","710","580","81.4"
"saskatchewan","295","270","91.5","915","860","94.0","665","580","86.8"
"alberta","1,420","1,315","92.6","3,075","2,825","91.8","1,585","1,380","86.9"
"british columbia","1,715","1,620","94.2","4,520","4,240","93.9","2,520","2,230","88.6"
"yukon","10","10","83.3","30","30","90.6","15","10","69.2"
"northwest territories","x","x","81.3","40","35","91.9","x","x","71.4"
"nunavut","x","x","80.0","10","10","100.0","x","x","100.0"
