"characteristics","%","95% confidence interval","95% confidence interval"
"characteristics","%","from","to"
"chronic conditions","","",""
"high blood pressure","","",""
"yes","41.7","36.0","47.6"
"no","35.0","32.1","38.1"
"cardiovascular disease","","",""
"yes","41.6","33.1","50.6"
"no","36.4","33.5","39.3"
"diabetes","","",""
"yes","39.5","33.2","46.1"
"no","36.4","33.2","39.6"
"kidney dysfunction or disease","","",""
"yes","35.0","22.8","49.5"
"no","36.6","33.6","39.7"
"arthritis","","",""
"yes","42.9","35.4","50.8"
"no","35.3","32.5","38.1"
"one or more comorbid conditions","","",""
"yes","40.8","35.8","46.0"
"no","34.1","31.5","36.9"
"body mass index","","",""
"underweight","28.7","15.0","48.0"
"normal","36.3","32.4","40.4"
"overweight","34.8","31.1","38.6"
"obese class i","37.1","30.7","44.0"
"obese class ii and iii","42.7","34.3","51.5"
"exposure to smoke","","",""
"smoker","42.1","36.4","47.9"
"non-smoker","","",""
"second-hand smoke exposure","43.2","35.2","51.6"
"no second-hand smoke exposure","34.0","31.3","36.8"
