"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"leyton orient","1950-51","third division south","21","2","0","0","0","0","21","2"
"leyton orient","1951-52","third division south","17","0","0","0","0","0","17","0"
"leyton orient","total","total","38","2","0","0","0","0","38","2"
"liverpool","1951-52","first division","14","1","1","0","0","0","15","1"
"liverpool","1952-53","first division","5","0","0","0","0","0","5","0"
"liverpool","1953-54","first division","27","4","1","0","0","0","28","4"
"liverpool","1954-55","second division","23","3","3","0","0","0","26","3"
"liverpool","1955-56","second division","15","0","0","0","0","0","15","0"
"liverpool","1956-57","second division","19","2","0","0","0","0","19","2"
"liverpool","1957-58","second division","22","2","2","0","0","0","24","2"
"liverpool","total","total","125","12","7","0","0","0","132","12"
"port vale","1958-59","fourth division","37","8","3","1","0","0","40","9"
"port vale","1959-60","third division","45","8","6","1","0","0","51","9"
"port vale","1960-61","third division","43","8","3","2","1","0","47","10"
"port vale","1961-62","third division","34","5","7","2","1","0","42","7"
"port vale","total","total","159","29","17","5","2","0","178","34"
"peterborough united","1962-63","third division","22","2","3","0","0","0","25","2"
"peterborough united","1963-64","third division","25","2","0","0","1","0","26","2"
"peterborough united","total","total","47","4","3","0","1","0","51","4"
"lincoln city","1964-65","fourth division","10","1","0","0","0","0","10","1"
"career total","career total","career total","379","48","27","5","3","0","409","53"
