"","being approachable and easy to talk to","ensuring safety of citizens","treating people fairly","enforcing the laws","promptly responding to calls","providing information on ways to prevent crime"
"","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"sex","","","","","",""
"male","0.68","0.62","0.57","0.48","0.49","0.47"
"female","0.68","0.60","0.53","0.53","0.49","0.45"
"age group","","","","","",""
"15 to 24 years","0.65","0.62","0.56","0.46","0.44","0.41"
"25 to 34 years","0.65","0.59","0.53","0.47","0.50","0.40"
"35 to 44 years","0.71","0.59","0.53","0.49","0.49","0.47"
"45 to 54 years","0.67","0.60","0.53","0.50","0.50","0.51"
"55 to 64 years","0.72","0.66","0.60","0.58","0.54","0.54"
"65 to 74 years","0.76","0.58","0.55","0.59","0.47","0.47"
"75 years and older","0.63","0.68","0.66","0.60","0.48","0.43"
"marital status","","","","","",""
"married/common law","0.69","0.62","0.55","0.50","0.48","0.46"
"not married or in a common-law relationship","0.67","0.59","0.55","0.51","0.51","0.46"
"level of education","","","","","",""
"university degree","0.69","0.58","0.51","0.51","0.52","0.42"
"less than university degree","0.68","0.61","0.56","0.50","0.48","0.47"
"main activity in the last 12 months","","","","","",""
"working at a paid job or self-employed","0.66","0.58","0.53","0.49","0.45","0.42"
"other","0.72","0.65","0.58","0.54","0.55","0.53"
"household income","","","","","",""
"$100,000 or more","0.68","0.61","0.54","0.53","0.50","0.47"
"less than $100,000","0.65","0.58","0.50","0.46","0.45","0.44"
"don't know/not stated","0.72","0.64","0.63","0.53","0.52","0.47"
"visible minority","","","","","",""
"visible minority","0.67","0.73","0.63","0.55","0.56","0.58"
"non-visible minority","0.68","0.60","0.55","0.50","0.49","0.45"
"aboriginal identity","","","","","",""
"aboriginal","0.63","0.56","0.50","0.44","0.42","0.42"
"non-aboriginal","0.74","0.66","0.61","0.58","0.58","0.51"
"immigrant status","","","","","",""
"non-immigrant","0.68","0.61","0.55","0.50","0.48","0.46"
"longer-term immigrant","0.73","0.54","0.51","0.50","0.53","0.46"
"recent immigrant","0.74","0.53","0.56","0.61","0.57","0.53"
"victim of crime","","","","","",""
"not a victim of crime in the past 12 months","0.70","0.65","0.58","0.54","0.54","0.48"
"victim of crime in the past 12 months","0.63","0.49","0.47","0.41","0.36","0.40"
"contact with police","","","","","",""
"contact with police in past 12 months","0.72","0.63","0.57","0.53","0.51","0.48"
"no contact with police in past 12 months","0.66","0.59","0.54","0.49","0.47","0.44"
"total","0.68","0.61","0.55","0.50","0.49","0.46"
