"major field of study","not a visible minority","not a visible minority","visible minority","visible minority"
"major field of study","women","men","women","men"
"major field of study","percentage","percentage","percentage","percentage"
"population with a postsecondary certificate, diploma or degree","100.0","100.0","100.0","100.0"
"education","12.0","4.2","7.2","2.1"
"visual and performing arts, and communications technologies","4.0","3.7","3.5","2.9"
"humanities","6.2","4.5","7.9","4.4"
"social and behavioural sciences and law","13.0","6.9","13.2","7.6"
"business, management and public administration","26.2","15.3","27.4","21.1"
"physical and life sciences and technologies","2.9","3.6","5.7","5.9"
"mathematics, computer and information sciences","2.5","4.4","4.8","9.0"
"architecture, engineering, and related technologies","3.0","41.8","5.5","34.6"
"agriculture, natural resources and conservation","1.5","3.4","1.0","1.5"
"health and related fields","22.4","5.0","20.5","7.2"
"personal, protective and transportation services","6.2","7.2","3.4","3.7"
"other fields of study","0.0","0.0","0.0","0.0"
