"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"liverpool","1973-74","first division","1","0","0","0","0","0","1","0"
"liverpool","1974-75","first division","0","0","0","0","0","0","0","0"
"liverpool","1975-76","first division","0","0","0","0","1","0","1","0"
"liverpool","1976-77","first division","0","0","0","0","0","0","0","0"
"liverpool","total","total","1","0","0","0","1","0","2","0"
"dallas tornado","1977","nasl","21","2","-","-","-","-","21","2"
"dallas tornado","1978","nasl","22","2","-","-","-","-","22","2"
"seattle sounders","1980","nasl","5","0","-","-","-","-","5","0"
"blackpool","1977-78","second division","12","0","0","0","0","0","12","0"
"blackpool","1978-79","third division","39","2","1","0","3","0","43","2"
"blackpool","1979-80","third division","24","0","1","0","7","0","32","0"
"blackpool","1980-81","third division","24","5","1","0","1","1","26","6"
"blackpool","1981-82","fourth division","0","0","0","0","0","0","0","0"
"blackpool","total","total","99","7","3","0","12","1","114","8"
"swansea city","1981-82","first division","23","1","1","0","1","0","25","1"
"swansea city","1982-83","first division","3","1","0","0","3","0","6","1"
"swansea city","total","total","26","2","1","0","4","0","31","2"
"port vale","1983-84","third division","2","0","0","0","0","0","2","0"
"bournemouth","1983-84","third division","9","0","0","0","2","0","11","0"
"baltimore blast","1983-84","misl","4","2","-","-","-","-","4","2"
"baltimore blast","1984-85","misl","35","4","-","-","-","-","35","4"
"baltimore blast","total","total","39","6","0","0","0","0","39","6"
"southport","1989-90","northern premier league","7","0","3","0","1","0","11","0"
"southport","1991-92","northern premier league","0","0","0","0","3","0","3","0"
"southport","total","total","7","0","3","0","4","0","14","0"
"career total","career total","career total","231","19","7","0","23","1","261","20"
