"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","fum","lost"
"2007","buffalo bills","8","1","58","300","5.2","27","0","22","190","8.6","54","0","0","0"
"2008","buffalo bills","16","3","130","571","4.4","32","3","37","317","8.6","65","0","2","1"
"2009","buffalo bills","16","11","237","1,062","4.5","43","2","46","371","8.1","21","2","3","2"
"2010","buffalo bills","16","13","222","927","4.2","39","5","31","215","6.9","65t","2","5","2"
"2011","buffalo bills","10","10","170","934","5.5","80t","6","39","442","11.3","49","0","2","2"
"2012","buffalo bills","10","8","115","437","3.8","15","3","34","217","6.4","34","1","5","4"
"2013","buffalo bills","16","6","207","896","4.3","59","9","47","387","8.2","37","1","3","0"
"2014","buffalo bills","14","9","141","525","3.7","38","2","66","501","7.6","34","1","5","0"
"2015","seattle seahawks","16","0","26","100","3.8","16","0","32","257","8.0","26","2","1","1"
"total","total","106","61","1,279","5,646","4.4","80","30","322","2,640","8.2","65","7","27","11"
